# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes
126496,iic,SSP_GA_outerdisk_l90_b28_faint_P00V03,2025-05-28 4:22:46,47283,11,0,195,449.9999084,18.6412,,1799.9996,21.722519,0x6e52d45da88f17ec,332.0897166,42.33214645,-96.05032916,0.93824697,0.18824571,N1 ramp error and the frame was lost. EET of n arm is incorrect. by arai@stn
126495,iic,SSP_GA_outerdisk_l90_b28_faint_P00V03,2025-05-28 4:13:58,47283,12,0,94,450,101.59051,,45.279743,125.3076,0x6e52d45da88f17ec,339.3432092,43.2344475,-103.0162658,0.93209285,0.42443454,Astronomical twilight by arai@stn
126494,iic,,2025-05-28 4:10:10,47280,0,9,6,4.800000191,,,,,0x6e52d45da88f17ec,340.0332184,43.69008463,-101.0992706,0.91455656,0.7812524,
126493,iic,SSP_GA_outerdisk_l90_b28_faint_P00V03,2025-05-28 3:53:31,47277,12,0,175,899.9994965,579.1906,,303.24493,715.8976,0x6e52d45da88f17ec,341.4871925,44.54389054,-97.89221404,1.0444825,0.7840718,
126492,iic,SSP_GA_outerdisk_l90_b28_faint_P00V03,2025-05-28 3:37:13,47277,12,0,173,899.9994965,715.72266,,368.3786,895.41846,0x6e52d45da88f17ec,343.8065583,45.70142365,-92.64796443,0.9592642,0.787031,
126491,iic,,2025-05-28 3:33:09,47274,0,9,5,4.800000191,,,,,0x6e52d45da88f17ec,345.2229477,46.30301285,-89.28974724,0.9683647,0.7854926,
126490,iic,SSP_GA_outerdisk_l90_b28_faint_P00V02,2025-05-28 3:16:47,47271,12,0,171,899.9992676,1070.1355,,541.92126,1297.4281,0x23f49a3f3bbc21c2,346.9460231,46.91707343,-85.91089646,0.81898826,0.8061888,
126489,iic,SSP_GA_outerdisk_l90_b28_faint_P00V02,2025-05-28 3:00:32,47271,12,0,168,899.9990082,1158.5192,,536.3639,1407.6422,0x23f49a3f3bbc21c2,349.6454301,47.69875618,-80.35141944,0.76075894,0.795309,
126488,iic,,2025-05-28 2:55:26,47269,0,9,8,4.800000191,,,,,0x23f49a3f3bbc21c2,350.3275769,47.87286406,-76.25801673,0.7562522,0.81573015,
126487,iic,EN1_S25A_run0001_postMer_obs0006,2025-05-28 2:38:45,47266,12,0,120,899.9990082,1548.5728,1237.1123,812.50977,,0x3a5acab29329c957,328.7606125,44.06857059,-57.10485104,0.7034092,0.8464048,
126486,iic,EN1_S25A_run0001_postMer_obs0006,2025-05-28 2:22:27,47266,12,0,117,900.0007477,1578.7605,1276.6471,819.43085,,0x3a5acab29329c957,330.7254783,46.03076893,-52.34815807,0.65516436,0.84260285,
126485,iic,,2025-05-28 2:18:34,47264,0,9,7,4.800000191,,,,,0x3a5acab29329c957,331.9410718,47.07730627,-49.38118601,0.60874015,0.76514727,
126484,iic,EN1_S25A_run0001_postMer_obs0006,2025-05-28 2:02:06,47261,12,0,185,900.0005035,1247.3478,816.1844,557.2371,,0x3a5acab29329c957,333.5543384,48.26267513,-46.14619995,0.6320039,0.7014157,
126483,iic,EN1_S25A_run0001_postMer_obs0006,2025-05-28 1:45:47,47261,12,0,183,899.9997406,1360.0597,1059.948,703.0516,,0x3a5acab29329c957,336.1880166,49.89860387,-40.8259703,0.66438687,0.76714253,
126482,iic,,2025-05-28 1:41:32,47258,0,9,10,4.800000191,,,,,0x3a5acab29329c957,337.8263855,50.76601435,-37.47510465,0.7375575,0.7375315,
126481,iic,EN1_S25A_run0001_postMer_obs0006,2025-05-28 1:25:10,47255,12,0,118,899.9992371,826.52844,714.6542,503.90207,,0x3a5acab29329c957,339.9813527,51.72085837,-33.66736367,0.85063565,0.8059701,
126480,iic,EN1_S25A_run0001_postMer_obs0006,2025-05-28 1:08:52,47255,12,0,118,900.0004883,418.76376,353.27676,250.94746,,0x3a5acab29329c957,343.3346542,52.93644785,-27.67554017,0.90400493,0.57228905,
126479,iic,,2025-05-28 1:04:20,47252,0,9,10,4.800000191,,,,,0x3a5acab29329c957,345.3827606,53.54292221,-23.91075974,0.96333015,0.64620477,
126478,iic,EN1_S25A_run0001_postMer_obs0006,2025-05-28 0:48:03,47249,12,0,188,900.0004883,336.407,306.9374,223.24695,,0x3a5acab29329c957,347.9982096,54.15202254,-19.68474959,1.0137578,0.6057965,
126477,iic,EN1_S25A_run0001_postMer_obs0006,2025-05-28 0:31:45,47249,12,0,188,900.0007324,519.4581,453.28604,350.38593,,0x3a5acab29329c957,351.9228215,54.82362305,-13.16069904,0.95164496,0.6845431,
126476,iic,,2025-05-28 0:23:20,47246,0,9,7,4.800000191,,,,,0x3a5acab29329c957,349.2798869,55.31744035,-2.865393241,0.8271161,0.53960097,
126475,iic,S25A_may_30,2025-05-28 0:13:51,47242,12,0,66,449.9995041,325.5294,310.22064,123.65167,,0x5ef9183f4becfb9c,232.9168402,61.21978252,138.6612407,0.79809225,0.6771096,
126474,iic,S25A_may_30,2025-05-28 0:05:05,47242,12,0,64,450.0000076,592.32886,583.3837,231.29526,,0x5ef9183f4becfb9c,229.660191,62.87061263,135.8406851,0.78317475,0.84784174,
126473,iic,S25A_may_30,2025-05-27 23:56:20,47242,12,0,63,449.9997559,679.73157,620.19745,257.42957,,0x5ef9183f4becfb9c,226.1270585,64.40014219,132.7297942,0.6535352,0.8246548,
126472,iic,S25A_may_30,2025-05-27 23:47:35,47242,12,0,74,450.0005035,437.766,428.61075,158.2469,,0x5ef9183f4becfb9c,221.9704946,65.90926504,129.0155145,0.7300613,0.74142784,
126471,iic,,2025-05-27 23:43:30,47239,0,9,5,4.800000191,,,,,0x5ef9183f4becfb9c,220.0012352,66.50904636,126.8475536,0.6019234,0.8055814,
126470,iic,S25A_may_25,2025-05-27 23:34:38,47235,12,0,73,449.9995041,560.92596,547.0878,232.02234,,0x461e981e06994e10,226.9900886,64.03612819,133.4934271,0.66729546,0.7764414,
126469,iic,S25A_may_25,2025-05-27 23:25:48,47235,12,0,73,449.9987411,661.4779,661.3843,281.1932,,0x461e981e06994e10,223.1234543,65.50702973,130.0503907,0.68453205,0.877163,
126468,iic,,2025-05-27 23:20:57,47231,0,9,14,4.800000191,,,,,0x461e981e06994e10,220.3002793,66.44511855,127.472374,0.7023907,0.880354,
126467,iic,EN1_S25A_run0001_preMer_obs0000,2025-05-27 22:58:49,47227,12,0,98,899.9980011,574.6448,525.6434,362.8254,,0x58bac4421e9853ce,54.75523593,55.49825339,-141.8248342,1.2390984,0.69895285,
126466,iic,EN1_S25A_run0001_preMer_obs0000,2025-05-27 22:42:34,47227,12,0,164,899.9992523,182.9017,167.12883,81.31873,,0x58bac4421e9853ce,18.58909429,52.27962966,-148.9436949,1.1210452,0.5628409,
126465,iic,,2025-05-27 22:38:37,47224,0,9,8,4.800000191,,,,,0x58bac4421e9853ce,20.22625732,51.645857,-145.7679954,1.0338427,0.71003026,
126464,iic,EN1_S25A_run0001_preMer_obs0000,2025-05-27 22:22:16,47221,12,0,81,899.9992371,507.94467,487.6726,330.93625,,0x58bac4421e9853ce,22.29448672,50.69209428,-142.1203142,1.2139702,0.63151455,
126463,iic,EN1_S25A_run0001_preMer_obs0000,2025-05-27 22:05:59,47221,12,0,184,900.0005035,334.22412,306.77533,202.73128,,0x58bac4421e9853ce,25.13056256,49.1246428,-136.5793648,1.1827068,0.62658787,
126462,iic,,2025-05-27 22:01:55,47218,0,9,10,4.800000191,,,,,0x58bac4421e9853ce,26.54378853,48.20823224,-133.5177719,1.026262,0.48327222,
126461,iic,EN1_S25A_run0001_preMer_obs0000,2025-05-27 21:45:31,47215,12,0,192,899.9982605,456.0538,393.25436,262.9225,,0x58bac4421e9853ce,28.14873401,46.98948419,-130.2189888,1.0499309,0.6499644,
126460,iic,EN1_S25A_run0001_preMer_obs0000,2025-05-27 21:29:14,47215,12,0,190,899.9992676,301.87213,261.39444,139.30626,,0x58bac4421e9853ce,30.24957826,45.10973356,-125.3741845,1.0415752,0.61059487,
126459,iic,,2025-05-27 21:24:56,47211,0,9,13,4.800000191,,,,,0x58bac4421e9853ce,31.32019382,43.99605497,-122.607889,1.0162154,0.62327766,
126458,iic,EN1_S25A_run0001_preMer_obs0000,2025-05-27 21:08:40,47208,12,0,193,899.9974976,195.65369,157.95064,89.17059,,0x58bac4421e9853ce,32.48147121,42.5826816,-119.6315252,0.9257288,0.42798865,
126457,iic,EN1_S25A_run0001_preMer_obs0000,2025-05-27 20:52:21,47208,12,0,193,900,28.337297,20.883827,5.9291544,,0x58bac4421e9853ce,33.94855176,40.47216023,-115.3272201,1.0291299,0.404427,"large guiding error (> 1"") in the early part of exposure. Later the AG error is even worse. by arai@stn"
126456,iic,,2025-05-27 20:43:37,47205,0,9,13,4.800000191,,,,,0x58bac4421e9853ce,40.69568104,39.45639377,-105.5090112,0.9348976,0.25121844,
126455,iic,S25A_may_1,2025-05-27 20:34:50,47202,12,0,104,449.9975052,10.72512,11.759955,8.313649,,0x2ac8efe816ca93,250.9724354,47.31931924,152.8900065,1.0703089,0.21264777,
126454,iic,S25A_may_1,2025-05-27 20:26:05,47202,12,0,103,449.9992599,120.58841,131.4562,48.138332,,0x2ac8efe816ca93,249.4363975,49.26945227,151.8357801,0.8747822,0.5200346,
126453,iic,S25A_may_1,2025-05-27 20:17:19,47202,12,0,102,449.9982529,172.36948,187.89476,77.84929,,0x2ac8efe816ca93,247.7873893,51.1907566,150.6599058,0.9274499,0.6842106,
126452,iic,S25A_may_1,2025-05-27 20:08:33,47202,12,0,103,450.0010071,153.36127,157.73586,74.080536,,0x2ac8efe816ca93,245.9991893,53.0900022,149.3401777,0.9854161,0.6573656,
126451,iic,,2025-05-27 20:03:01,47199,0,9,14,4.800000191,,,,,0x2ac8efe816ca93,244.4772793,54.01195586,145.7160036,1.0341969,0.61440724,
126450,iic,,2025-05-27 19:54:34,47196,0,0,21,5,,,,,0x353dfe8d259ffbb8,230.9351732,45.68842653,47.85294032,1.3399848,0.7566913,"z=3.25, seeing=1.4"" with AG1 and AG4. z value was determined with AgFocus(using all AG cam) by ichi@stn"
126449,iic,,2025-05-27 19:45:22,47194,0,0,21,10,,,,,0x353dfe8d259ffbb8,228.8985564,47.18796096,46.01950561,1.1059879,0.20298645,focus position was not found due to cloudy. by ichi@stn
