# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,seeing_median,transparency_median,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,notes,visit_set_notes
138801,iic,SSP_CO_Autumn_2h_35_v1,2026-01-20 22:09:45.581288,59391,12,1,51,400.0012435913086,265.28342,287.9376,124.02233,,0.6908844,0.7862995,0x6d6304f3ef8c8e13,252.64782127967248,35.148977463061996,153.9540751530574,,
138800,iic,SSP_CO_Autumn_2h_35_v1,2026-01-20 22:01:33.628154,59391,12,1,49,399.9979934692383,272.9277,293.41437,60.321407,,0.66824996,0.7880044,0x6d6304f3ef8c8e13,251.49808776855468,37.01893531799316,153.20634841918945,,
138799,iic,,2026-01-20 21:57:48.978111,59388,0,8,8,4.800000190734863,,,,,0.6703335,0.7878813,0x6d6304f3ef8c8e13,250.72281005859375,38.224310150146486,152.64231079101563,,
138798,iic,,2026-01-20 21:57:06.080700,,0,0,0,,,,,,,,0x6d6304f3ef8c8e13,249.53424072265625,39.97658157348633,151.86947631835938,,
138797,iic,SSP_CO_Autumn_2h_36_v1,2026-01-20 21:49:29.861096,59384,12,1,45,399.99849700927734,266.12253,365.13196,191.58069,,0.6232569,0.8366699,0x138a81fd51f2db11,248.9256755994714,40.83127768143363,151.44331343277642,,
138796,iic,SSP_CO_Autumn_2h_36_v1,2026-01-20 21:41:19.664440,59384,12,1,49,399.99874114990234,356.32587,427.98212,192.63293,,0.6143466,0.85409194,0x138a81fd51f2db11,247.64994323730468,42.54753871917725,150.52774978637694,,
138795,iic,,2026-01-20 21:38:04.127504,59381,0,8,5,4.800000190734863,,,,,0.5573578,0.88694376,0x138a81fd51f2db11,246.75473102770354,43.69224387721012,149.79883776212992,,
138794,iic,,2026-01-20 21:37:18.136160,,0,0,0,,,,,,,,0x138a81fd51f2db11,248.79923248291016,45.32195854187012,151.1062240600586,,
138793,iic,,2026-01-20 21:35:58.339297,59377,0,5,0,4.800000190734863,,,,,,,0x7906bcd09f04bbf0,248.6670379638672,45.49087142944336,151.1062774658203,,
138792,iic,,2026-01-20 21:35:07.687264,,0,0,0,,,,,,,,0x7906bcd09f04bbf0,252.8019256591797,46.71076965332031,154.17184448242188,,
138791,iic,SSP_CO_Autumn_2h_73_v1,2026-01-20 21:29:14.432099,59373,12,1,35,299.9990005493164,198.652,302.04486,56.224827,,0.6137813,0.85092366,0x1c5cd97f571e1215,252.30264812045627,47.40526400672065,153.85152922736273,,
138790,iic,SSP_CO_Autumn_2h_73_v1,2026-01-20 21:22:43.433414,59373,12,1,39,299.9987487792969,215.99901,335.7918,101.34001,,0.6075086,0.86285853,0x1c5cd97f571e1215,251.27080078125,48.786823225021365,153.17070713043213,,
138789,iic,,2026-01-20 21:19:03.000786,59370,0,8,7,4.800000190734863,,,,,0.61042136,0.86522615,0x1c5cd97f571e1215,250.4826500934103,49.793347068454906,152.56419505243716,,
138788,iic,,2026-01-20 21:18:10.686556,,0,0,0,,,,,,,,0x1c5cd97f571e1215,250.6230926513672,47.374088287353516,152.6371612548828,,
138787,iic,SSP_CO_Autumn_2h_63_v1,2026-01-20 21:09:47.224537,59366,12,1,50,450.0010070800781,485.43118,625.1264,284.55756,,0.5979306,0.9167696,0x685b57738231ed5e,249.88434451234107,48.315128588208964,152.13248488482307,,
138786,iic,SSP_CO_Autumn_2h_63_v1,2026-01-20 21:00:45.406522,59366,12,1,54,450.00125885009766,523.6254,610.7308,240.65761,,0.5874964,0.9346172,0x685b57738231ed5e,248.2988415804776,50.22412393743342,151.0142813942649,,
138785,iic,,2026-01-20 20:57:23.149610,59363,0,8,6,4.800000190734863,,,,,0.6030277,0.91801655,0x685b57738231ed5e,247.19168236142113,51.471121651785715,150.12772042410714,,
138784,iic,,2026-01-20 20:56:42.588571,,0,0,0,,,,,,,,0x685b57738231ed5e,246.11984252929688,52.60409927368164,149.41505432128906,,
138783,iic,SSP_CO_Autumn_2h_68_v2,2026-01-20 20:50:48.044907,59359,12,1,35,300.0032501220703,272.63605,359.1486,125.40073,,0.6123783,1.0066229,0x9ba4ec074945b01,245.47320408291287,53.25326029459635,148.93087853325738,,
138782,iic,SSP_CO_Autumn_2h_68_v2,2026-01-20 20:44:16.859797,59359,12,1,39,300.00025177001953,289.5339,363.29828,71.70307,,0.58164155,1.0133059,0x9ba4ec074945b01,244.0975471496582,54.56894426345825,147.87835540771485,,
138781,iic,,2026-01-20 20:40:50.243315,59356,0,8,6,4.800000190734863,,,,,0.5503656,1.0062525,0x9ba4ec074945b01,243.04725356329055,55.515110560825896,146.95882161458334,,
138780,iic,,2026-01-20 20:40:03.538177,,0,0,0,,,,,,,,0x9ba4ec074945b01,244.5784149169922,54.13054656982422,148.2456512451172,,
