# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,seeing_median,transparency_median,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,notes,visit_set_notes
138396,iic,SSP_CO_Autumn_2h_51_v1,2026-01-18 22:04:43.220619,58965,12,1,42,299.9987564086914,27.661165,42.8204,5.552554,,1.0645149,0.64433944,0x7906bcd09f04bbf0,252.70392803813135,39.75847146677416,153.92092718080033,,
138395,iic,SSP_CO_Autumn_2h_51_v1,2026-01-18 21:58:13.138500,58965,12,1,27,299.99925231933594,10.970881,16.662786,,,1.286078,0.5361758,0x7906bcd09f04bbf0,251.3821631840297,41.771141733442036,153.06459154401506,,
138394,iic,,2026-01-18 21:54:32.521688,58962,0,8,5,0.004800000227987766,,,,,1.117987,0.55848134,0x7906bcd09f04bbf0,250.97131909822164,42.59685014423571,152.7422782496402,,
138393,iic,SSP_CO_Autumn_2h_63_v1,2026-01-18 21:38:09.443166,58959,12,1,66,899.9974975585938,10.349939,14.329017,12.354706,,1.1280801,0.21643288,0x685b57738231ed5e,253.75120134495978,42.89849443578009,154.6633115170607,,
138392,iic,SSP_CO_Autumn_2h_63_v1,2026-01-18 21:21:37.728743,58959,12,1,71,900.0005035400391,95.08199,134.8165,118.027565,,1.1050675,0.57862514,0x685b57738231ed5e,251.24245336320666,46.52647662162781,153.0507705476549,,
138391,iic,,2026-01-18 21:17:32.705588,58956,0,8,7,0.004800000227987766,,,,,0.9850803,0.63018614,0x685b57738231ed5e,249.64794656504756,48.61460810122283,151.9226830523947,,
138390,iic,SSP_CO_Autumn_2h_66_v2,2026-01-18 21:01:57.816436,58953,12,1,54,856.0019989013672,18.166162,24.853012,16.3691,,1.0345951,0.2691879,0x6a4b41471b55f5a2,248.92260048606178,49.48267465071245,151.45598907470702,,
138389,iic,SSP_CO_Autumn_2h_66_v2,2026-01-18 20:46:09.093348,58953,12,1,60,856.0020141601562,258.8026,372.49402,214.96722,,0.90889466,0.7624484,0x6a4b41471b55f5a2,245.87506441210138,52.83344506435707,149.22958061343334,,
138388,iic,,2026-01-18 20:42:02.317706,58950,0,8,6,0.004800000227987766,,,,,0.8630896,0.85590976,0x6a4b41471b55f5a2,243.85162571498327,54.80382864815848,147.6240001860119,,
138387,iic,SSP_CO_Autumn_2h_65_v2,2026-01-18 20:28:23.772994,58947,12,1,81,737.9990081787109,272.17422,403.8691,268.75574,,0.9423648,0.7363169,0x16beb21c2de097bd,242.6790117403356,55.82341859398819,146.7687273723323,,
138386,iic,SSP_CO_Autumn_2h_65_v2,2026-01-18 20:14:33.936619,58947,12,1,83,738.0002593994141,286.53186,448.5115,264.78802,,0.9829145,0.81002766,0x16beb21c2de097bd,239.07477387927827,58.63855425516764,143.86957395644416,,
138385,iic,,2026-01-18 20:10:46.372287,58944,0,8,6,0.004800000227987766,,,,,1.0221665,0.81770486,0x16beb21c2de097bd,236.74205017089844,60.228448776971724,141.85575212751115,,
138384,iic,SSP_CO_Autumn_2h_64_v2,2026-01-18 19:57:20.301521,58941,12,1,81,726.99951171875,337.9714,515.79407,189.13432,,0.95477915,0.84781474,0xca1eab77569292d,235.19199799328317,61.15427673153761,140.6330194240663,,
138383,iic,SSP_CO_Autumn_2h_64_v2,2026-01-18 19:43:43.729514,58941,12,1,82,726.999755859375,335.3777,476.45926,230.90654,,0.942145,0.8504314,0xca1eab77569292d,230.31634337643544,63.704418412174086,136.4426935035062,,
138382,iic,,2026-01-18 19:39:50.274606,58938,0,8,5,0.004800000227987766,,,,,0.85553175,0.8502199,0xca1eab77569292d,227.49010668302836,65.01827159680818,133.87039345189146,,
138381,iic,SSP_CO_Autumn_1h_46_v2,2026-01-18 19:27:12.895402,58935,12,1,75,674.9992523193359,319.29147,410.15314,236.13992,,0.9415637,0.8057003,0x257635dd484236b3,231.9418020750347,64.47178381367733,137.9096804167095,,
138380,iic,SSP_CO_Autumn_1h_46_v2,2026-01-18 19:14:27.867758,58935,12,1,77,674.9982604980469,285.883,379.12112,153.70787,,0.96713626,0.7861781,0x257635dd484236b3,226.5559819539388,66.73500907115447,133.18564048180212,,
138379,iic,,2026-01-18 19:11:23.345350,,0,1,18,0.004800000227987766,,,,,0.91355455,0.79789126,0x257635dd484236b3,222.73471310264185,68.05634528712223,129.77565403988487,,
138378,iic,,2026-01-18 19:09:01.081468,,0,1,14,0.004800000227987766,,,,,0.94792086,0.7920853,0x257635dd484236b3,221.33619537353516,68.4780387878418,128.51507619222005,,
138377,iic,,2026-01-18 19:05:13.828689,58930,0,8,7,0.004800000227987766,,,,,0.9599019,0.7765417,0x257635dd484236b3,220.00113578464675,68.85440428360648,127.22139574133831,,
