# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,seeing_median,transparency_median,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,notes,visit_set_notes
138126,iic,SSP_GA_sex_S0P00V02,2026-01-17 05:59:35.301383,58717,12,1,42,450.0,12.6967325,,18.855127,12.013959,1.5993915,0.7563295,0x7ad28ccacc54163,252.29017089134038,37.18494282212368,105.68160079246344,,
138125,iic,SSP_GA_sex_S0P00V02,2026-01-17 05:50:32.373128,58717,12,1,52,450.00050354003906,51.21096,,36.532578,70.73038,1.2765298,0.778984,0x7ad28ccacc54163,250.989749692521,39.21352224529914,104.82648064955225,,
138124,iic,,2026-01-17 05:47:13.701665,58714,0,8,4,0.004800000227987766,,,,,1.085212,0.80805343,0x7ad28ccacc54163,250.15922007841223,40.44563764684341,104.30898509306066,,
138123,iic,SSP_GA_sex_S0P00V01,2026-01-17 05:30:50.382788,58711,12,1,98,899.99951171875,285.49887,,182.2012,414.59872,1.1123592,0.796659,0x50a726300d1c9bb9,248.4912302807124,42.74034345992888,103.09249866369998,,
138122,iic,SSP_GA_sex_S0P00V01,2026-01-17 05:14:18.936975,58711,12,1,99,899.9997406005859,348.98767,,196.48174,518.0981,1.0591949,0.8016317,0x50a726300d1c9bb9,245.60630569458007,46.30534868240356,100.97381107330322,,
138121,iic,,2026-01-17 05:10:44.665572,58708,0,8,5,0.004800000227987766,,,,,1.0344651,0.8023715,0x50a726300d1c9bb9,243.69181582802221,48.33572708932977,99.56245141280324,,
138120,iic,SSP_GA_sex_S0P01V11,2026-01-17 04:57:58.597993,58705,12,1,77,570.5647430419922,310.8525,,146.48361,414.36212,0.9780917,0.85014987,0x185abff69f1a9926,240.13073065342047,50.31339249244103,96.72249290270683,Exposure aborted by vmpas@stn,
138119,iic,,2026-01-17 04:53:57.659896,58702,0,8,4,0.004800000227987766,,,,,0.94258386,0.8646003,0x185abff69f1a9926,238.88503848805146,51.856361389160156,98.54257875330308,,
138118,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0003,2026-01-17 04:37:35.691467,58699,12,1,98,899.9987335205078,438.25226,521.5555,243.38597,,0.9679561,0.83597517,0x7f369dea71a02da8,244.96050223918877,54.02811663078539,148.5404938977174,,
138117,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0003,2026-01-17 04:21:04.252355,58699,12,1,99,900.0002593994141,534.61176,607.9869,251.3652,,0.8937824,0.8531828,0x7f369dea71a02da8,240.97180000305175,57.47664098739624,145.41078285217284,,
138116,iic,,2026-01-17 04:17:29.124191,58696,0,8,5,0.004800000227987766,,,,,0.8563477,0.8561606,0x7f369dea71a02da8,238.27488226639596,59.39090266980623,143.28029753032484,,
138115,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0002,2026-01-17 04:01:07.184430,58693,12,1,98,900.0002593994141,799.06964,823.0094,415.8134,,0.7533282,0.83634055,0xca91e9f78362b2f,233.26747917406487,61.090203044390435,138.95738012140447,,
138114,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0002,2026-01-17 03:44:38.057938,58693,12,1,99,900.0012512207031,579.44324,653.1933,336.07486,,0.85676485,0.7911227,0xca91e9f78362b2f,227.0787483215332,64.06436304092408,133.567786026001,,
138113,iic,,2026-01-17 03:41:08.173137,58690,0,8,4,0.004800000227987766,,,,,0.92205167,0.7794093,0xca91e9f78362b2f,223.20930839987363,65.66571403952206,130.19795047535615,,
138112,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0001,2026-01-17 03:24:41.628014,58687,12,1,98,900.0,271.64896,318.75064,181.05075,,1.1258596,0.81374055,0x7ec53747f3ab611f,221.70538522739602,67.55845183555526,128.80715414490362,,
138111,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0001,2026-01-17 03:08:10.969746,58687,12,1,99,899.9999847412109,410.76276,433.778,139.68954,,0.9555448,0.83419967,0x7ec53747f3ab611f,212.35191902160645,69.8928087234497,120.27892513275147,,
138110,iic,,2026-01-17 03:04:28.183311,58684,0,8,6,0.004800000227987766,,,,,1.0142343,0.82911175,0x7ec53747f3ab611f,206.05525643484933,70.96307627360027,114.49659111386254,,
138109,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0000,2026-01-17 02:48:07.861892,58681,12,1,98,900.0,694.1047,788.3652,486.97043,,0.80066013,0.96200126,0x76aed8d5d96c34c2,197.13305548465613,70.84110032669221,106.12018438782354,,
138108,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0000,2026-01-17 02:31:34.702421,58681,12,1,99,900.000244140625,654.8567,736.9678,340.8951,,0.8179148,0.9493664,0x76aed8d5d96c34c2,184.56098350524903,71.57115367889405,94.32425888061523,,
138107,iic,,2026-01-17 02:27:47.924654,58678,0,8,6,0.004800000227987766,,,,,0.8893201,0.9143662,0x76aed8d5d96c34c2,176.88841247558594,71.67475346156529,87.07379731677827,,
138106,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0003,2026-01-17 02:11:28.772045,58675,12,1,98,900.0002593994141,419.6683,428.26495,238.51035,,0.913182,0.86446995,0x7f369dea71a02da8,165.55953717472576,71.94885986019867,76.46077709005337,,
138105,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0003,2026-01-17 01:54:56.851366,58675,12,1,99,900.0,368.43887,413.047,239.72154,,0.98577917,0.846989,0x7f369dea71a02da8,153.46087341308595,70.58899974822998,65.16027221679687,,
138104,iic,,2026-01-17 01:51:23.464516,58672,0,8,5,0.004800000227987766,,,,,0.8721372,0.868216,0x7f369dea71a02da8,147.2642139635588,69.46321828741776,59.33049232081363,,
