# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,seeing_median,transparency_median,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,notes,visit_set_notes
138585,iic,SSP_CO_Autumn_2h_74_v1,2026-01-19 22:06:41.042738,59148,12,1,35,400.000244140625,266.23187,345.2678,33.10306,,0.8067926,0.82102954,0x7de0df1151003497,256.689875708686,40.5728350215488,156.47642962137857,,
138584,iic,SSP_CO_Autumn_2h_74_v1,2026-01-19 21:58:31.781525,59148,12,1,35,399.9992446899414,302.44055,380.50342,114.02295,,0.81022745,0.82587504,0x7de0df1151003497,255.58681106567383,42.44255940119425,155.8608307308621,,
138583,iic,,2026-01-19 21:54:38.741774,59145,0,8,6,0.004800000227987766,,,,,0.8054153,0.88259715,0x7de0df1151003497,254.6296154203869,43.522004808698384,155.24724469866072,,
138582,iic,SSP_CO_Autumn_2h_45_v2,2026-01-19 21:43:53.762620,59142,12,1,46,564.0009918212891,414.70505,479.17035,241.57863,,0.7828055,0.87025267,0x5169634b90096ed9,249.64378746519697,42.012437292870054,151.89608375062335,,
138581,iic,SSP_CO_Autumn_2h_45_v2,2026-01-19 21:32:57.165794,59142,12,1,47,563.99951171875,352.36728,419.7739,158.32863,,0.84156245,0.8721889,0x5169634b90096ed9,247.8487639427185,44.397013107935585,150.62418540318808,,
138580,iic,,2026-01-19 21:28:11.092985,59139,0,8,11,0.004800000227987766,,,,,0.7789896,0.8618871,0x5169634b90096ed9,246.65352704448085,45.94313799950384,149.72052051175027,,
138579,iic,SSP_CO_Autumn_2h_49_v1,2026-01-19 21:17:31.383030,59136,12,1,64,557.0027618408203,463.64685,566.8153,116.59299,,0.7148663,0.921478,0x549d0871777d634,247.19784757173977,47.29164616511418,150.13903233454778,,
138578,iic,SSP_CO_Autumn_2h_49_v1,2026-01-19 21:06:43.852178,59136,12,1,65,557.0009918212891,574.00354,701.67456,298.81363,,0.6447268,0.92622286,0x549d0871777d634,245.12611735950816,49.61045045563669,148.5950812137488,,
138577,iic,,2026-01-19 21:03:12.889379,59133,0,8,4,0.004800000227987766,,,,,0.6199092,0.91207504,0x549d0871777d634,244.0770461138557,51.0477508096134,147.73109346277573,,
138576,iic,SSP_CO_Autumn_2h_75_v2,2026-01-19 20:54:09.605281,59130,12,1,54,464.0,478.92114,617.96045,191.25894,,0.71438575,0.907533,0x2ae320e531f4c1fb,247.66138388893822,53.054137767444956,150.64031996293502,,
138575,iic,SSP_CO_Autumn_2h_75_v2,2026-01-19 20:44:54.737164,59130,12,1,55,464.0007553100586,526.1976,645.90283,96.81332,,0.6645562,0.91233754,0x2ae320e531f4c1fb,245.718839100429,55.021754128592356,149.19699437277657,,
138574,iic,,2026-01-19 20:41:11.788014,59127,0,8,6,0.004800000227987766,,,,,0.67451286,0.903716,0x2ae320e531f4c1fb,244.22176688058036,56.30963570731027,147.98202514648438,,
138573,iic,SSP_CO_Autumn_2h_69_v2,2026-01-19 20:31:23.927649,59124,12,1,59,505.99974822998047,659.4779,885.94257,114.54797,,0.62097806,0.9470832,0x31554b700849c8a1,238.95782559712728,58.72193428675334,143.77540842692056,,
138572,iic,SSP_CO_Autumn_2h_69_v2,2026-01-19 20:21:26.647089,59124,12,1,59,505.99949645996094,608.65955,833.297,289.53046,,0.64537656,0.90133,0x31554b700849c8a1,235.98484115600587,60.677848434448244,141.30330607096354,,
138571,iic,,2026-01-19 20:17:53.221496,59121,0,8,5,0.004800000227987766,,,,,0.62487423,0.9418838,0x31554b700849c8a1,234.13676292017885,61.76496726588199,139.65733096474096,,
138570,iic,SSP_CO_Autumn_2h_67_v2,2026-01-19 20:08:48.909089,59118,12,1,54,464.00000762939453,406.51492,515.44934,162.31073,,0.7425534,0.9156997,0x20c1c6f55ced0115,234.81793199018998,61.37790371287953,140.31860892555932,,
138569,iic,SSP_CO_Autumn_2h_67_v2,2026-01-19 19:59:33.649645,59118,12,1,55,464.00025177001953,390.11926,500.4388,116.873665,,0.7537073,0.9122437,0x20c1c6f55ced0115,231.60542924063546,63.09373882838658,137.56395421709334,,
138568,iic,,2026-01-19 19:56:03.240600,59115,0,8,5,0.004800000227987766,,,,,0.8029813,0.8997661,0x20c1c6f55ced0115,229.42772554096422,64.12742855674342,135.57965730365953,,
138567,iic,SSP_CO_Autumn_2h_62_v1,2026-01-19 19:46:57.454579,59112,12,1,39,457.99925231933594,537.9725,679.865,166.17744,,0.73037606,1.0038363,0x1813c4243bf0a211,227.4382068634033,64.96604795455933,133.91890087127686,,
138566,iic,SSP_CO_Autumn_2h_62_v1,2026-01-19 19:37:48.944879,59112,12,1,50,457.99974822998047,472.8717,597.88806,125.05229,,0.7459151,0.9396574,0x1813c4243bf0a211,223.18546893549902,66.53955108044194,130.1329849841548,,
138565,iic,,2026-01-19 19:33:48.090818,59109,0,8,5,0.004800000227987766,,,,,0.6971118,0.9339373,0x1813c4243bf0a211,221.19559037057977,67.1265310990183,128.2440538908306,,
138564,iic,SSP_CO_Autumn_1h_33_v2,2026-01-19 19:21:12.617298,59106,12,1,76,674.9992370605469,666.88666,815.07404,446.96677,,0.6987995,0.96215314,0x703cf1e006cc20dd,230.33158458362925,63.70912911055924,136.45845844219258,,
138563,iic,SSP_CO_Autumn_1h_33_v2,2026-01-19 19:08:25.216415,59106,12,1,76,675.0,501.55515,547.693,174.08435,,0.7513868,0.92290753,0x703cf1e006cc20dd,224.96719627875785,65.91807125141094,131.72798880044516,,

