# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,seeing_median,transparency_median,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,notes,visit_set_notes
137909,iic,SSP_GA_sex_S0P00V00,2026-01-15 05:55:54.135567,58496,12,1,132,449.99949645996094,59.73618,,80.31169,70.56817,1.0993326,0.7575464,0x61959461defecd43,250.92737808801178,50.044441596009676,98.43258693495022,,
137908,iic,SSP_GA_sex_S0P00V00,2026-01-15 05:46:52.613952,58496,12,1,89,449.9992446899414,116.034706,,96.352715,190.5999,1.1163024,0.77456677,0x61959461defecd43,249.23831244574652,41.74505049387614,103.62308192782932,,
137907,iic,,2026-01-15 05:43:26.087630,58493,0,8,6,0.004800000227987766,,,,,1.1336145,0.7674322,0x61959461defecd43,248.33691624232702,42.96617689586821,103.02384803408668,,
137906,iic,SSP_GA_sex_S0P00V00,2026-01-15 05:27:04.769244,58490,12,1,161,900.0012359619141,300.9871,,129.92926,492.73474,1.1259598,0.7827646,0x61959461defecd43,246.50172499668452,45.25750642941322,101.6429086379063,,
137905,iic,SSP_GA_sex_S0P00V00,2026-01-15 05:10:32.775645,58490,12,1,164,900.0,266.14688,,233.16951,460.6631,1.182859,0.7838272,0x61959461defecd43,243.33331136992484,48.77122942606608,99.22947378447562,,
137904,iic,,2026-01-15 05:06:21.827520,58487,0,8,8,0.004800000227987766,,,,,1.4739132,0.7509445,0x61959461defecd43,241.6267248535156,50.72615432739258,99.82220367431641,,
137903,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0003,2026-01-15 04:49:59.946865,58484,12,1,162,900.0009918212891,135.44394,233.06416,124.64671,,1.3512676,0.7906858,0x7f369dea71a02da8,245.95652228045319,53.05046893628828,149.29355012858574,,
137902,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0003,2026-01-15 04:33:27.808230,58484,12,1,163,899.9997406005859,346.1755,547.4146,300.2689,,1.0651175,0.8221216,0x7f369dea71a02da8,242.14720726013184,56.53663705034954,146.34889239799685,,
137901,iic,,2026-01-15 04:28:35.717532,58481,0,8,20,0.004800000227987766,,,,,0.9606051,0.8290667,0x7f369dea71a02da8,239.57622076540576,58.52660961540378,144.30996392697705,,
137900,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0002,2026-01-15 04:12:14.782430,58478,12,1,162,899.9977416992188,668.2848,984.0496,346.38022,,0.8909623,0.7851773,0xca91e9f78362b2f,234.34631782952994,60.47941979016263,139.87690458707283,,
137899,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0002,2026-01-15 03:55:43.842628,58478,12,1,163,899.9997406005859,411.0327,627.13135,354.34326,,1.0249884,0.7716358,0xca91e9f78362b2f,228.3885445478486,63.50685451088882,134.720782861477,,
137898,iic,,2026-01-15 03:52:12.073765,58475,0,8,6,0.004800000227987766,,,,,0.89271164,0.7819819,0xca91e9f78362b2f,224.69845871698288,65.11453937348865,131.51978556315103,,
137897,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0001,2026-01-15 03:35:52.590486,58472,12,1,161,900.0012359619141,477.7461,733.89307,287.02213,,0.9323547,0.82991195,0x7ec53747f3ab611f,223.34715657175323,67.0396757243592,130.282725793344,,
137896,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0001,2026-01-15 03:19:20.331263,58472,12,1,163,899.9982604980469,946.3115,1453.1693,707.4664,,0.7123284,0.8613785,0x7ec53747f3ab611f,214.38361958759586,69.4687130625655,122.14511613148015,,
137895,iic,,2026-01-15 03:15:59.747073,58469,0,8,5,0.004800000227987766,,,,,0.76909596,0.83829266,0x7ec53747f3ab611f,208.4371875963713,70.5833804481908,116.71221080579255,,
137894,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0000,2026-01-15 02:59:37.326422,58466,12,1,162,900.0,312.41678,501.23093,185.2736,,1.1330404,0.85165054,0x76aed8d5d96c34c2,199.79777409840216,70.56850379522592,108.61069741278338,,
137893,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0000,2026-01-15 02:43:06.115169,58466,12,1,163,899.999755859375,312.4067,505.64737,287.28122,,1.0938197,0.8522267,0x76aed8d5d96c34c2,187.438561695378,71.48353934869533,97.02922916412354,,
137892,iic,,2026-01-15 02:39:26.121662,58463,0,8,8,0.004800000227987766,,,,,1.6176265,0.6960492,0x76aed8d5d96c34c2,179.9945227050781,71.69498809814453,90.00672271728516,,
137891,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0003,2026-01-15 02:23:06.871030,58460,12,1,81,900.00048828125,135.20543,190.67061,95.336945,,1.443204,0.81514627,0x7f369dea71a02da8,168.60488649693932,72.15314809287467,79.31880727628382,,
137890,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0003,2026-01-15 02:06:34.469215,58460,12,1,111,899.9989929199219,95.95233,136.47696,72.83255,,1.6685166,0.7815773,0x7f369dea71a02da8,155.1399564743042,70.83786504609245,66.7205479485648,,
137889,iic,,2026-01-15 02:03:03.146657,58457,0,8,7,0.004800000227987766,,,,,1.0235819,0.8163703,0x7f369dea71a02da8,149.73376332158628,69.95779020889945,61.630246369735055,,
137888,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0002,2026-01-15 01:46:42.949074,58454,12,1,161,900.000244140625,124.67611,162.54636,88.17387,,1.4322056,0.79679507,0xca91e9f78362b2f,144.10947008486147,67.71005731747474,56.54826831817627,,
137887,iic,SSP_GE_COSMOS_S25B_run0005_WIDE_obs0002,2026-01-15 01:30:11.295519,58454,12,1,163,900.0019989013672,161.02243,218.29315,116.17023,,1.2694696,0.78742355,0xca91e9f78362b2f,135.89710765931665,65.22040122892798,49.11388283241086,,
137886,iic,,2026-01-15 01:26:14.900196,58451,0,8,11,0.004800000227987766,,,,,1.2789562,0.7568823,0xca91e9f78362b2f,131.82830515215474,63.69051607193485,45.43870322935043,,
