# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes
122964,iic,SSP_GA_dra_S0P00V02,2025-03-29 05:18:32.134202,44173,12,0,164,449.9989929199219,380.4899,,63.718777,168.76991,0x2fe9d568e66fe1b6,356.8538556648023,62.274260422677706,20.641554367112036,0.65189457,0.93324965,
122963,iic,SSP_GA_dra_S0P00V02,2025-03-29 05:09:47.054012,44173,12,0,101,449.99874114990234,578.01154,,70.844376,381.99487,0x2fe9d568e66fe1b6,350.1833852476355,51.93819506805722,28.4233882261975,0.67150944,0.97321457,Astronomical twiligh started by arai@stn
122962,iic,SSP_GA_dra_S0P00V02,2025-03-29 05:01:01.811667,44173,12,0,101,449.9992446899414,580.06995,,65.36756,415.27524,0x2fe9d568e66fe1b6,0.9859848135137206,51.93665597474047,31.7711682906879,0.6737265,0.975866,
122961,iic,SSP_GA_dra_S0P00V02,2025-03-29 04:52:19.386007,44173,12,0,100,449.9992446899414,592.8727,,67.14644,450.52316,0x2fe9d568e66fe1b6,2.8759626498316773,51.86697015667906,35.12002063033604,0.65209764,0.9686426,
122960,iic,,2025-03-29 04:48:08.512881,44170,0,9,11,3.466666797796885,,,,,0x2fe9d568e66fe1b6,4.056541981235627,51.78985165011498,37.36240460795741,0.64456487,0.9403657,
122959,iic,SSP_GA_dra_S0P00V01,2025-03-29 04:39:22.113290,44167,12,0,100,449.99949645996094,625.19666,,73.24739,512.9058,0x22f2eb25895ef5ec,5.627343562569949,51.64138506898786,40.01810895334376,0.61336315,0.9732794,
122958,iic,SSP_GA_dra_S0P00V01,2025-03-29 04:30:36.790566,44167,12,0,99,449.9989929199219,526.2628,,64.8792,480.68927,0x22f2eb25895ef5ec,7.464469888317051,51.40587900645697,43.316005915551635,0.666683,0.9584641,
122957,iic,SSP_GA_dra_S0P00V01,2025-03-29 04:21:48.749914,44167,12,0,101,449.99949645996094,569.1972,,62.727005,503.55838,0x22f2eb25895ef5ec,9.267118052680894,51.105077384722115,46.58248382039589,0.62184316,0.97516423,
122956,iic,SSP_GA_dra_S0P00V01,2025-03-29 04:13:01.692843,44167,12,0,101,449.9992446899414,575.2377,,56.81069,464.22028,0x22f2eb25895ef5ec,11.041809828997833,50.73737216817921,49.83636989499548,0.62997776,0.9732249,
122955,iic,,2025-03-29 04:07:05.552849,44164,0,9,16,3.466666797796885,,,,,0x22f2eb25895ef5ec,20.26075503939674,50.252679734002974,51.270348367236906,0.6165174,0.9440012,
