# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes
123317,iic,SSP_GA_umi_S0P01V09,2025-04-01 05:08:18.974412,44621,12,0,55,149.9985008239746,86.62878,,6.67058,62.853443,0x245c1207f621b809,343.04785074506486,37.699253354753765,-4.206501292330878,0.7818529,0.82598674,
123316,iic,SSP_GA_umi_S0P01V09,2025-04-01 05:04:33.603720,44621,12,0,45,149.99874877929688,101.35576,,7.132628,72.94417,0x245c1207f621b809,343.4307851155599,37.98766555786133,-2.9946510606341894,0.72497797,0.844457,
123315,iic,,2025-04-01 05:02:27.904760,44620,12,0,0,13.904917001724243,,,,,0x245c1207f621b809,343.7004406738281,38.18313377380371,-2.1538644862174987,,,
123314,iic,SSP_GA_umi_S0P01V09,2025-04-01 04:52:37.484015,44619,11,0,138,449.99863503196025,490.28693,,127.37737,376.26852,0x245c1207f621b809,344.26470802570213,38.569219293265505,-0.4309065943485495,0.7649649,0.9360379,
123313,iic,SSP_GA_umi_S0P01V09,2025-04-01 04:43:52.692179,44619,12,0,104,449.9989929199219,521.1435,,50.21805,412.59232,0x245c1207f621b809,345.1755435341283,39.146080163106966,2.2781878706941194,0.721828,0.9605634,
123312,iic,SSP_GA_umi_S0P01V09,2025-04-01 04:35:07.143793,44619,12,0,104,449.99974822998047,493.18484,,47.9167,412.14648,0x245c1207f621b809,346.0734045585377,39.658429926091976,4.864606009716052,0.7134065,0.96873295,
123311,iic,SSP_GA_umi_S0P01V09,2025-04-01 04:26:23.134551,44619,12,0,104,449.99849700927734,501.84564,,47.072754,406.34677,0x245c1207f621b809,347.00915279114645,40.1397734281549,7.485398146524384,0.69907933,0.9672349,
123310,iic,,2025-04-01 04:22:07.492318,44616,0,9,7,3.466666797796885,,,,,0x245c1207f621b809,333.48589138189953,40.86017735799154,10.801163673400879,0.69616455,0.87465256,
123309,iic,SSP_GA_dra_S0P01V09,2025-04-01 04:13:19.432871,44613,12,0,101,449.99825286865234,491.31247,,58.142784,428.72134,0x13ac438d34d6b3fd,10.025985278335272,50.952066870296704,47.97153265335981,0.5978883,0.89933497,
123308,iic,SSP_GA_dra_S0P01V09,2025-04-01 04:04:34.144544,44613,12,0,102,449.99849700927734,308.0178,,25.99426,227.85211,0x13ac438d34d6b3fd,11.775045151804008,50.55875550064386,51.19737709269804,0.6369009,0.73580754,
