# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes
123080,iic,SSP_GA_dra_S0P00V04,2025-03-30 05:22:06.502199,44321,12,0,149,449.99925231933594,135.67365,,26.638525,34.96843,0x55b74ebf7c82dc6a,355.4339391395799,51.78163382999076,21.400036862573184,0.85035986,0.80112934,
123079,iic,SSP_GA_dra_S0P00V04,2025-03-30 05:13:18.669684,44321,12,0,127,449.9980010986328,318.7944,,38.858578,220.98232,0x55b74ebf7c82dc6a,357.4847296476364,51.88524453341961,25.573131389915943,0.79573756,0.837745,
123078,iic,,2025-03-30 05:09:34.439170,44318,0,9,10,3.466666797796885,,,,,0x55b74ebf7c82dc6a,358.65331294618807,51.930094094112,27.817413001224914,0.79180664,0.7948098,
123077,iic,SSP_GA_dra_S0P00V04,2025-03-30 05:00:47.035927,44315,12,0,127,449.9977493286133,237.44977,,26.30547,188.65424,0x55b74ebf7c82dc6a,145.59396936570604,51.94515727922028,30.349418512980144,0.80243766,0.68783563,
123076,iic,SSP_GA_dra_S0P00V04,2025-03-30 04:52:02.980635,44315,12,0,126,449.9990005493164,188.85463,,18.004185,151.52011,0x55b74ebf7c82dc6a,2.079553684698263,51.90425675282837,33.708658346545555,0.90533435,0.6884634,
123075,iic,SSP_GA_dra_S0P00V04,2025-03-30 04:43:16.512921,44315,12,0,125,449.9980010986328,137.29666,,13.713582,116.90808,0x55b74ebf7c82dc6a,3.9553428878934365,51.79578506289505,37.038253769161194,1.0318776,0.68522537,
123074,iic,SSP_GA_dra_S0P00V04,2025-03-30 04:34:32.023532,44315,12,0,108,449.9980010986328,107.21156,,10.695085,90.05638,0x55b74ebf7c82dc6a,5.788461704957321,51.6229246640535,40.30746684975338,1.0444313,0.5845022,
123073,iic,,2025-03-30 04:30:30.408869,44312,0,9,9,3.466666797796885,,,,,0x55b74ebf7c82dc6a,6.9862404399447975,51.47498547589338,42.62840497052228,0.86742777,0.39787874,
123072,iic,SSP_GA_dra_S0P00V03,2025-03-30 04:21:17.784104,44309,12,0,105,449.99849700927734,326.86395,,39.225586,277.01666,0x4370cf63e90202ec,8.529909086453406,51.23597834799527,45.24332088090797,0.7998898,0.80612427,
123071,iic,SSP_GA_dra_S0P00V03,2025-03-30 04:12:33.835234,44309,12,0,100,449.99849700927734,374.3204,,44.67806,335.7817,0x4370cf63e90202ec,10.353248695335767,50.88841294770194,48.56955671782541,0.7841105,0.9258066,
123070,iic,SSP_GA_dra_S0P00V03,2025-03-30 04:03:47.828450,44309,12,0,99,449.99849700927734,322.588,,35.017708,273.42908,0x4370cf63e90202ec,12.083101291467647,50.48625645779147,51.76750177440077,0.7865641,0.83993715,
123069,iic,SSP_GA_dra_S0P00V03,2025-03-30 03:55:00.661888,44309,12,0,102,449.99849700927734,210.41234,,19.353155,163.95067,0x4370cf63e90202ec,13.765707932266535,50.0222952412624,54.927539713242474,0.79827046,0.5818244,
123068,iic,,2025-03-30 03:50:00.049983,44306,0,9,10,3.466666797796885,,,,,0x4370cf63e90202ec,26.47993100922683,49.43223887476428,55.9158500802928,0.76956254,0.47512037,
123067,iic,SSP_GA_umi_S0P00V04,2025-03-30 03:40:37.808648,44303,12,0,109,449.9989929199219,105.60053,,11.552493,83.55358,0x77f41009c8fb35d9,354.4651315458152,41.91436972853314,26.344183985962463,1.004865,0.53367865,
123066,iic,SSP_GA_umi_S0P00V04,2025-03-30 03:31:52.442914,44303,12,0,105,449.9989929199219,130.25156,,12.3053465,95.76172,0x77f41009c8fb35d9,355.6098184539941,42.09916537344171,29.20401172546679,0.9247657,0.5135691,
123065,iic,SSP_GA_umi_S0P00V04,2025-03-30 03:23:07.469987,44303,12,0,105,449.9989929199219,28.033684,,2.6286407,20.764925,0x77f41009c8fb35d9,356.72912265000184,42.23679026382229,31.978063185633076,0.85877836,0.24465838,
123064,iic,SSP_GA_umi_S0P00V04,2025-03-30 03:14:20.938759,44303,12,0,105,449.99949645996094,171.01733,,15.86023,133.30983,0x77f41009c8fb35d9,357.86202554567166,42.334318007338105,34.769262142091,0.8618046,0.58615583,
123063,iic,,2025-03-30 03:08:11.909619,44300,0,9,12,3.466666797796885,,,,,0x77f41009c8fb35d9,338.80162127358574,43.03889029366629,25.580396488734653,0.8415687,0.6084308,
123062,iic,EN1_S25A_run0000_posA_obs0000b,2025-03-30 02:50:45.884829,44297,12,0,209,900.000244140625,182.70366,183.74335,19.03204,,0x2dbe30ae7a83ba0,14.768444800490968,53.49249602504894,-155.60251091770007,0.9251574,0.35507855,
123061,iic,EN1_S25A_run0000_posA_obs0000b,2025-03-30 02:34:28.894727,44297,12,0,195,900.000244140625,441.91632,415.19427,42.11156,,0x2dbe30ae7a83ba0,18.377144494020115,52.36027598076159,-149.28708373555136,0.8410112,0.42999038,
