date,visit_id
20250403,123518
20250403,123517
20250403,123516
20250403,123515
20250403,123514
20250328,122779
20250328,122778
20250328,122777
20250328,122776
20250328,122774
20250328,122773
20250328,122772
20250328,122771
20250329,122941
20250329,122940
20250329,122939
20250329,122938
20250329,122931
20250329,122930
20250329,122929
20250329,122928
20250330,123056
20250330,123055
20250330,123054
20250330,123053
20250330,123051
20250330,123050
20250330,123049
20250330,123048
20250523,125917
20250523,125916
20250523,125915
20250523,125914
20250523,125912
20250523,125911
20250523,125910
20250523,125909
20250523,125908
20250527,126414
20250527,126413
20250527,126411
20250527,126410
20250527,126409
20250527,126408
20250527,126406
20250527,126405
20250527,126404
20250527,126403
20250527,126389
20250527,126388
20250527,126386
20250527,126385
20250527,126384
20250527,126383
20250527,126378
20250527,126377
20250527,126376
20250527,126375
20250527,126373
20250527,126372
20250527,126371
20250527,126370
20250527,126368
20250527,126367
20250527,126366
20250527,126365
20250527,126363
20250527,126362
20250527,126361
20250527,126360
20250527,126357
20250527,126356
20250527,126355
20250527,126354
20250528,126475
20250528,126474
20250528,126473
20250528,126472
20250528,126470
20250528,126469
20250528,126455
20250528,126454
20250528,126453
20250528,126452
20250529,126563
20250529,126562
20250529,126561
20250529,126560
20250529,126549
20250529,126548
20250529,126546
20250529,126545
20250529,126544
20250529,126543
20250530,126684
20250530,126683
20250530,126666
20250530,126665
20250530,126664
20250530,126663
20250530,126661
20250530,126660
20250530,126659
20250530,126658
20250530,126656
20250530,126655
20250530,126654
20250530,126653
20250530,126651
20250530,126650
20250530,126649
20250530,126648
20250530,126646
20250530,126645
20250530,126644
20250530,126643
20250530,126641
20250530,126640
20250530,126639
20250530,126638
20250530,126636
20250530,126635
20250530,126634
20250530,126633
20250530,126631
20250530,126630
20250530,126629
20250530,126628
20250531,126764
20250531,126763
20250531,126762
20250531,126761
20250531,126745
20250531,126744
20250531,126743
20250531,126742
20250531,126740
20250531,126739
20250531,126737
20250531,126736
20250531,126735
20250531,126734
20250531,126732
20250531,126731
20250531,126730
20250531,126729
20250531,126727
20250531,126726
20250531,126725
20250531,126724
20250531,126722
20250531,126721
20250531,126720
20250531,126719
20250531,126717
20250531,126716
20250531,126715
20250531,126714
20250630,128898
20250630,128897
20250630,128896
20250630,128895
20250630,128893
20250630,128892
20250630,128891
20250630,128890
20250630,128888
20250630,128887
20250630,128886
20250630,128885
20250630,128883
20250630,128882
20250630,128881
20250630,128880
20250630,128878
20250630,128877
20250630,128876
20250630,128875
20250630,128873
20250630,128872
20250630,128871
20250630,128870
20250630,128868
20250630,128867
20250630,128865
20250630,128864
20250630,128863
20250630,128862
20250630,128849
20250630,128848
20250630,128847
20250630,128846
20250630,128844
20250630,128843
20250702,129136
20250702,129135
20250702,129134
20250702,129133
20250702,129131
20250702,129130
20250702,129129
20250702,129128
20250702,129126
20250702,129125
20250702,129124
20250702,129123
20250702,129121
20250702,129120
20250702,129119
20250702,129118
20250702,129116
20250702,129115
20250702,129114
20250702,129113
20250702,129111
20250702,129110
20250702,129109
20250702,129108
20250702,129106
20250702,129105
20250702,129104
20250702,129103
20250702,129101
20250702,129100
20250702,129099
20250702,129098
20250702,129096
20250702,129095
20250702,129094
20250702,129093
20250702,129091
20250702,129090
20250702,129089
20250702,129088
20250702,129086
20250702,129085
20250702,129084
20250702,129083
20250703,129282
20250703,129281
20250703,129279
20250703,129278
20250703,129276
20250703,129275
20250703,129274
20250703,129273
20250703,129271
20250703,129270
20250703,129269
20250703,129268
20250703,129266
20250703,129265
20250703,129264
20250703,129263
20250703,129261
20250703,129260
20250703,129259
20250703,129258
20250703,129256
20250703,129255
20250703,129254
20250703,129253
20250703,129251
20250703,129250
20250703,129249
20250703,129248
20250703,129246
20250703,129245
20250703,129244
20250703,129243
20250703,129241
20250703,129240
20250703,129239
20250703,129238
20250703,129235
20250703,129234
20250703,129233
20250703,129232
20250703,129230
20250703,129229
20250703,129228
20250703,129227
20250703,129225
20250703,129224
20250703,129223
20250703,129222
20250703,129220
20250703,129219
20250703,129218
20250703,129217
20250922,131320
20250922,131319
20250922,131317
20250922,131316
20250922,131314
20250922,131313
20250923,131409
20250923,131408
20250923,131406
20250923,131405
20250924,131504
20250924,131503
20250924,131501
20250924,131500
20250925,131622
20250925,131621
20250925,131619
20250925,131618
20250925,131616
20250925,131615
20250925,131613
20250925,131612
20250925,131610
20250925,131609
20250925,131607
20250925,131606
