# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes
128762,iic,SSP_GA_outerdisk_l90_b16_faint_P00V03,2025-06-29 04:32:41.673000,49943,12,0,168,900.0,405.38992,,221.86766,454.03363,0x67f8660bcabd7d21,330.373429295571,40.37692370542079,-119.86691106462337,0.8364442,0.90215635,
128761,iic,SSP_GA_outerdisk_l90_b16_faint_P00V03,2025-06-29 04:16:26.628249,49943,12,0,143,899.9980010986328,1153.0996,,298.24606,1605.4684,0x67f8660bcabd7d21,331.35994824133684,41.503746032714844,-116.98697431079187,0.6893242,0.94498956,
128760,iic,,2025-06-29 04:12:19.578551,49940,0,9,7,4.800000190734863,,,,,0x67f8660bcabd7d21,332.31347401936847,42.55465396245321,-114.16527779897054,0.6185827,0.95870155,
128759,iic,SSP_GA_outerdisk_l90_b16_faint_P00V02,2025-06-29 03:55:59.298308,49937,12,0,143,899.9967346191406,1334.405,,492.61877,1852.9563,0x4216965b045dcd45,333.5611385119501,43.7389434389121,-111.16694420472255,0.6384222,0.96050644,
128758,iic,SSP_GA_outerdisk_l90_b16_faint_P00V02,2025-06-29 03:39:42.655316,49937,12,0,141,899.9975128173828,1486.5139,,422.97678,2083.1099,0x4216965b045dcd45,335.59379680080883,45.388890593296225,-106.2976281263803,0.5928039,0.9717858,
128757,iic,,2025-06-29 03:33:02.373906,49934,0,9,7,4.800000190734863,,,,,0x4216965b045dcd45,325.35404936472577,47.45224825541178,-98.65531559785207,0.6335413,0.95507264,
128756,iic,SSP_GA_outerdisk_l90_bm28_faint_P00V04,2025-06-29 03:24:11.265927,49931,12,0,94,449.99950408935547,732.0578,,304.58188,1283.8304,0x71ed72c86fb42f41,62.30758778001896,73.68399734093398,8.7451289318226,0.608694,0.98818046,
128755,iic,SSP_GA_outerdisk_l90_bm28_faint_P00V04,2025-06-29 03:15:22.927249,49931,12,0,93,449.99925231933594,715.4647,,311.7348,1301.0348,0x71ed72c86fb42f41,64.55306735523244,71.82924729617521,11.877396394862211,0.63033265,0.9819022,
128754,iic,,2025-06-29 03:11:32.588242,49928,0,9,6,4.800000190734863,,,,,0x71ed72c86fb42f41,65.7162409695712,70.64324604381214,13.798952666195957,0.5061639,1.0116602,
128753,iic,SSP_GA_outerdisk_l90_bm28_faint_P00V01,2025-06-29 02:55:13.141548,49925,12,0,126,899.9985046386719,1753.9685,,620.5573,3108.1116,0x15dc66050431182b,67.47221510212412,68.28350477256322,16.467103166542504,0.57708216,1.0203382,
128752,iic,SSP_GA_outerdisk_l90_bm28_faint_P00V01,2025-06-29 02:38:56.793325,49925,12,0,126,899.9992523193359,1929.5984,,447.86655,3196.51,0x15dc66050431182b,69.3453469257581,64.71752240629536,20.012551341603395,0.5555361,1.0210204,
128751,iic,,2025-06-29 02:31:56.402678,49922,0,9,7,4.800000190734863,,,,,0x15dc66050431182b,80.90388520558675,61.66835689544678,19.463809410731,0.46142954,1.0135167,
128750,iic,SSP_GA_dra_S0P01V07,2025-06-29 02:15:34.100260,49919,12,0,184,899.999755859375,376.72034,,211.10896,788.6321,0x13eacc88b6a601f8,329.9570385279048,38.81292450654151,-32.42610539071928,0.70647055,0.8741103,
128749,iic,SSP_GA_dra_S0P01V07,2025-06-29 01:59:14.663921,49919,12,0,184,900.0,423.75015,,210.50453,925.3273,0x13eacc88b6a601f8,331.35946109430574,40.69760109092485,-28.067027642474912,0.65805894,0.88478076,
128748,iic,,2025-06-29 01:55:11.765550,49916,0,9,9,4.800000190734863,,,,,0x13eacc88b6a601f8,332.25229208809986,41.73712226322719,-25.33917215892247,0.6161038,0.8905645,
128747,iic,SSP_GA_dra_S0P01V06,2025-06-29 01:38:51.591189,49913,12,0,132,899.9992523193359,311.73123,,169.56247,762.2335,0x46e709a839215d8c,333.44588703659343,42.933985253100126,-22.331763530227374,0.709123,0.8986895,
128746,iic,SSP_GA_dra_S0P01V06,2025-06-29 01:22:34.228146,49913,12,0,145,899.9997406005859,311.21365,,127.417694,700.27405,0x46e709a839215d8c,335.45380540565935,44.650313465865615,-17.35950165515913,0.7482136,0.8640954,
