# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
129282,iic,S25A_june_64,2025-07-03 04:44:56.332214,50342,12,0,102,449.9980010986328,213.65514,119.38617,237.6613,,0x125ebad9609a9fb9,218.86400905702172,71.00761469399056,126.35415604754192,0.7466136,0.9482356,,
129281,iic,S25A_june_64,2025-07-03 04:36:09.343650,50342,12,0,99,449.99774169921875,327.54742,322.32214,196.26985,,0x125ebad9609a9fb9,213.0306144215953,72.23255583029895,121.0037591445386,0.7758552,0.95055485,,
129280,iic,,2025-07-03 04:32:16.873469,50339,0,9,7,4.800000190734863,,,,,0x125ebad9609a9fb9,209.06943957010904,72.90419673919678,116.84558391571045,0.7407744,0.96839774,,
129279,iic,S25A_june_64,2025-07-03 04:23:25.257793,50336,12,0,100,449.9982452392578,397.9403,494.03967,221.25632,,0x125ebad9609a9fb9,203.3389843992926,73.64975810644046,112.00407667776838,0.81567025,0.9550413,,
129278,iic,S25A_june_64,2025-07-03 04:14:37.245070,50336,12,0,100,449.99798583984375,340.3328,434.87973,167.31857,,0x125ebad9609a9fb9,195.73169719639108,74.34802762311489,104.87644537171322,0.8772455,0.93042374,,
129277,iic,,2025-07-03 04:10:27.400290,50333,0,9,8,4.800000190734863,,,,,0x125ebad9609a9fb9,190.78932248629056,74.57108482947716,99.6684347299429,0.831696,0.94850016,,
129276,iic,S25A_june_53,2025-07-03 04:01:39.237760,50330,12,0,99,449.99949645996094,374.0239,451.3218,205.20972,,0x58e39ffbdea52cfb,187.29240632177,72.69542502398467,96.91130648665691,0.7414634,0.9926068,,
129275,iic,S25A_june_53,2025-07-03 03:52:54.040370,50330,12,0,100,449.99874114990234,269.6863,350.83026,153.39076,,0x58e39ffbdea52cfb,179.9479345824588,72.82504917733112,89.998177789337,0.8606405,0.95357895,,
129274,iic,S25A_june_53,2025-07-03 03:44:08.693880,50330,12,0,99,449.9979934692383,312.61636,363.86737,153.47389,,0x58e39ffbdea52cfb,172.55581695709995,72.68959724004544,83.03857924111524,0.8653407,0.93728894,,
129273,iic,S25A_june_53,2025-07-03 03:35:19.321236,50330,12,0,100,449.9979934692383,262.04947,304.66684,130.61781,,0x58e39ffbdea52cfb,165.36257547407007,72.29228540676743,76.27865126121104,0.9334652,0.90752417,,
129272,iic,,2025-07-03 03:30:30.435851,50327,0,9,17,4.800000190734863,,,,,0x58e39ffbdea52cfb,160.9007023898038,71.9369234605269,71.82837538285689,0.81007534,0.92923003,,
129271,iic,S25A_june_58,2025-07-03 03:21:42.852738,50324,12,0,66,449.9984893798828,326.50674,329.20044,143.53244,,0x5987d745033626e8,155.44823025581533,72.38126281508826,66.98455039002842,0.80089813,0.89522433,,
129270,iic,S25A_june_58,2025-07-03 03:12:53.802946,50324,12,0,66,449.99874114990234,424.95422,424.51892,174.13986,,0x5987d745033626e8,149.07792583264802,71.41451567456238,61.06694392154091,0.7536849,0.90625423,,
129269,iic,S25A_june_58,2025-07-03 03:04:05.651967,50324,12,0,66,449.9984893798828,241.8767,271.20184,96.14591,,0x5987d745033626e8,143.3628550364559,70.25998125578228,55.806824103333895,0.97608334,0.8838502,,
129268,iic,S25A_june_58,2025-07-03 02:55:17.585136,50324,12,0,74,449.9982452392578,524.99365,551.12396,202.99777,,0x5987d745033626e8,138.0883155157102,68.89050431219523,51.00741118872726,0.69081247,0.93465817,,
129267,iic,,2025-07-03 02:50:47.111804,50321,0,9,13,4.800000190734863,,,,,0x5987d745033626e8,135.46075948079428,68.04985894097223,48.43616898854574,0.8558003,0.8645812,,
129266,iic,S25A_june_52,2025-07-03 02:41:57.676728,50318,12,0,101,449.9989929199219,342.2146,343.47995,135.1902,,0x39477adfee7e6e64,134.56746549559344,66.38100110133881,47.892862047467915,0.79954064,0.8877129,,
129265,iic,S25A_june_52,2025-07-03 02:33:08.306747,50318,12,0,101,449.9992446899414,424.15894,423.56415,166.72571,,0x39477adfee7e6e64,130.7117248685489,64.85293131861194,44.480282957330715,0.76405805,0.90538794,,
129264,iic,S25A_june_52,2025-07-03 02:24:22.974785,50318,12,0,101,449.9989929199219,485.75684,513.6025,191.9956,,0x39477adfee7e6e64,127.29665558913658,63.248719276465806,41.50799671417386,0.78234386,0.90648985,,
129263,iic,S25A_june_52,2025-07-03 02:15:35.815925,50318,12,0,102,449.99999237060547,329.97287,363.13867,123.05447,,0x39477adfee7e6e64,124.23976756770436,61.57223121829149,38.897999889094656,0.8780939,0.861952,,
129262,iic,,2025-07-03 02:11:22.711637,50315,0,9,9,4.800000190734863,,,,,0x39477adfee7e6e64,122.63219233921596,60.47280774797712,37.39865180424282,0.7586174,0.91481763,,
129261,iic,S25A_june_41,2025-07-03 02:02:34.118768,50312,12,0,52,449.99999237060547,301.2997,335.44604,156.1596,,0x41004eec46d8fd83,124.80723026820591,58.64063128516788,39.44678678966704,0.89516515,0.9956818,,
129260,iic,S25A_june_41,2025-07-03 01:53:48.896770,50312,12,0,53,450.00049591064453,205.58725,229.76323,97.28635,,0x41004eec46d8fd83,122.25403038809233,56.92011564023027,37.306988689386955,1.0103971,0.9706776,,
129259,iic,S25A_june_41,2025-07-03 01:45:04.030669,50312,12,0,52,449.9989929199219,211.28127,237.76245,102.347336,,0x41004eec46d8fd83,119.9263918195452,55.15281201317197,35.396922084263394,0.97002256,0.9779229,,
129258,iic,S25A_june_41,2025-07-03 01:36:18.915172,50312,12,0,60,449.9992446899414,204.47539,231.82005,104.364075,,0x41004eec46d8fd83,117.7017752907493,53.258326254600334,33.61468830581539,1.0039376,0.9457521,,
129257,iic,,2025-07-03 01:31:59.160334,50309,0,9,9,4.800000190734863,,,,,0x41004eec46d8fd83,116.34251839773995,52.27517591203962,32.43994188308716,1.0743583,0.9038482,,
129256,iic,S25A_june_61,2025-07-03 01:23:10.960033,50306,12,0,52,449.99949645996094,172.23463,205.68501,93.78167,,0x1e01bcab681f01f8,109.10557105654762,52.5928340003604,26.897179013206845,1.0839905,0.97401863,,
129255,iic,S25A_june_61,2025-07-03 01:14:25.617940,50306,12,0,53,449.99949645996094,97.30007,124.971725,49.237434,,0x1e01bcab681f01f8,107.54228688177662,50.633924216867605,25.85026035130581,1.2742934,0.94877285,,
