# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
134454,iic,SSP_CO_Spring_9h_35_v1,2025-11-22 05:29:50.397914,54913,12,0,71,373.00150299072266,246.72247,183.53398,137.07106,,0x5a7f51d698b4b95d,157.22433973192335,69.61834711461634,68.67157820054702,0.6352628,0.79071,,
134453,iic,SSP_CO_Spring_9h_35_v1,2025-11-22 05:22:18.894191,54913,12,0,76,372.99949645996094,399.63586,405.3701,188.10223,,0x5a7f51d698b4b95d,152.53313271516288,68.89300626866958,64.31008948531806,0.6057826,0.8328342,,
134452,iic,,2025-11-22 05:18:49.169703,54910,0,8,7,4.800000190734863,,,,,0x5a7f51d698b4b95d,149.7273698889691,68.37776250424592,61.64408277428669,0.6568374,0.79488075,,
134451,iic,SSP_CO_Spring_9h_34_v1,2025-11-22 05:12:14.523567,54907,12,0,66,312.99949645996094,288.77924,373.3848,134.5981,,0x434ff5386b0fa082,148.99659419239015,68.2280860843515,61.04007603351335,0.575308,0.89359003,,
134450,iic,SSP_CO_Spring_9h_34_v1,2025-11-22 05:05:42.611781,54907,12,0,67,312.99974822998047,346.5425,464.94583,153.38066,,0x434ff5386b0fa082,145.27361518012154,67.39304057933666,57.61735365125868,0.5150375,0.88962644,,
134449,iic,,2025-11-22 05:01:42.717891,54904,0,8,12,4.800000190734863,,,,,0x434ff5386b0fa082,142.9615460020123,66.84044855291194,55.45386828798236,0.48285887,0.8949455,,
134448,iic,SSP_CO_Spring_9h_45_v1,2025-11-22 04:55:23.896044,54901,12,0,64,309.00025177001953,436.80185,519.9248,159.45679,,0x6a60231d9e559830,141.96385003614796,67.79519144694011,54.57700120201407,0.48179233,0.8776366,,
134447,iic,SSP_CO_Spring_9h_45_v1,2025-11-22 04:48:59.703449,54901,12,0,65,309.00025177001953,395.35803,483.56882,152.7946,,0x6a60231d9e559830,138.66420250812558,66.83802341140864,51.58505531485754,0.48476586,0.85504377,,
134446,iic,,2025-11-22 04:45:10.669617,54898,0,8,7,4.800000190734863,,,,,0x6a60231d9e559830,137.1421429177989,66.26458541206692,50.152136595352836,0.4904529,0.85804915,,
134445,iic,SSP_CO_Spring_9h_28_v1,2025-11-22 04:36:52.767179,54895,12,0,84,430.99950408935547,745.55774,840.41956,361.8387,,0x606befcf09af419b,145.631853272929,67.48949360142093,57.94465023243921,0.49413612,0.9249586,,
134444,iic,SSP_CO_Spring_9h_28_v1,2025-11-22 04:28:22.617202,54895,12,0,87,430.99950408935547,544.2982,618.8551,249.6178,,0x606befcf09af419b,141.17554530552457,66.30398232596261,53.87757753644671,0.5270318,0.77974194,,
134443,iic,,2025-11-22 04:24:42.776409,54892,0,8,6,4.800000190734863,,,,,0x606befcf09af419b,138.1181858607701,65.37755711873372,51.0498780750093,0.55571294,0.8162452,,
134442,iic,SSP_CO_Spring_9h_44_v2,2025-11-22 04:14:34.366512,54889,12,0,55,539.9997406005859,590.0479,604.8776,326.63156,,0x305418f80fff2f80,126.13527486990164,61.550633920205605,40.53755098635012,0.63956046,0.8858044,,
134441,iic,SSP_CO_Spring_9h_44_v2,2025-11-22 04:04:15.566145,54889,12,0,57,539.9994964599609,69.32951,74.45744,46.612446,,0x305418f80fff2f80,122.85687799868376,59.56971382472826,37.7670164357061,0.77360576,0.4518989,,
134440,iic,,2025-11-22 04:00:16.347420,54886,0,8,8,4.800000190734863,,,,,0x305418f80fff2f80,121.12604522705078,58.39278823852539,36.27771041870117,0.776824,0.05495745,,
134439,iic,SSP_CO_Spring_9h_41_v2,2025-11-22 03:47:27.762951,54883,12,0,70,674.9997406005859,271.73013,269.3808,157.03569,,0x47a10fd31bf43b89,122.50145126234555,59.33781235606958,37.47166551089456,0.6891958,0.80087966,guiding bad by vmpas@stn,
134438,iic,SSP_CO_Spring_9h_41_v2,2025-11-22 03:34:57.230789,54883,12,0,75,674.9999847412109,222.11107,257.44272,166.58406,,0x47a10fd31bf43b89,118.86266837214792,56.68147303094927,34.493578904511914,0.8076099,0.6936201,,
134437,iic,,2025-11-22 03:31:31.219963,54880,0,8,8,4.800000190734863,,,,,0x47a10fd31bf43b89,117.12621795654297,55.24841796875,33.065697021484375,0.8821057,0.084026136,,
134436,iic,,2025-11-22 03:27:45.429437,54875,0,8,8,4.800000190734863,,,,,0x47a10fd31bf43b89,116.58429290771484,54.66866455078125,32.64824661254883,1.0017918,0.12890084,,
134435,iic,,2025-11-22 02:20:38.788937,,0,0,1,2.0,,,,,0xd5c7468f080517d,158.78035481770834,40.85144805908203,70.54364585876465,,,,
134431,iic,,2025-11-21 23:06:31.378963,54861,0,8,12,4.800000190734863,,,,,0x24c36339fa6764bf,201.56210974491003,69.77838735869436,110.22978973388672,0.7756099,0.02016487,,
134430,iic,SSP_GE_XMMLSS_S25B_run0004_DEEP_obs0003,2025-11-21 22:50:18.957284,54858,12,0,142,899.9994964599609,182.54646,168.50493,88.141335,,0x74b6096adcbaf25c,193.09719543457032,64.76090703596148,102.37094019839638,0.5705208,0.16477698,,
134429,iic,SSP_GE_XMMLSS_S25B_run0004_DEEP_obs0003,2025-11-21 22:33:59.254241,54858,12,0,165,899.9989929199219,926.9391,1060.7666,743.7605,,0x74b6096adcbaf25c,184.07849761870693,65.30016488251009,93.87142916676501,0.67645127,0.9428508,,
134428,iic,,2025-11-21 22:30:35.720611,54855,0,8,7,4.800000190734863,,,,,0x74b6096adcbaf25c,178.59097489066747,65.37618487814198,88.68192722486413,0.69534117,0.94394237,,
