# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
135228,iic,SSP_CO_Autumn_2h_78_v2,2025-11-27 23:57:48.786936,55883,12,0,93,434.9982452392578,393.41275,483.33264,228.85303,,0x395c99f0dad58d15,237.81475927995487,61.22141641219032,142.8901431649764,0.76853096,0.93320644,,
135227,iic,SSP_CO_Autumn_2h_78_v2,2025-11-27 23:49:19.112262,55883,12,0,85,434.99974822998047,412.27548,543.3484,248.14653,,0x395c99f0dad58d15,234.88888781809666,62.95400501273529,140.43065692388524,0.72902775,0.9360499,,
135226,iic,,2025-11-27 23:45:41.655620,55880,0,8,8,4.800000190734863,,,,,0x395c99f0dad58d15,232.84936584472655,63.90440399169922,138.62262451171875,0.7106082,0.94090617,,
135225,iic,SSP_CO_Autumn_2h_62_v2,2025-11-27 23:37:07.831596,55877,12,0,86,449.0007553100586,456.75104,603.80756,270.88815,,0x416fc92eccb7bba2,226.87533242991893,63.7630291756867,133.3839160720737,0.64197224,0.92227757,,
135224,iic,SSP_CO_Autumn_2h_62_v2,2025-11-27 23:28:21.556645,55877,12,0,88,449.00050354003906,399.86588,521.7902,247.72365,,0x416fc92eccb7bba2,223.11917838403735,65.20400500971046,130.03928405416886,0.6537627,0.9189602,,
135223,iic,,2025-11-27 23:24:38.759514,55874,0,8,9,4.800000190734863,,,,,0x416fc92eccb7bba2,220.4507124159071,66.00158352322049,127.584188108091,0.552253,0.9283196,,
135222,iic,SSP_CO_Autumn_2h_46_v2,2025-11-27 23:16:53.670525,55871,12,0,78,400.00025939941406,431.09772,684.93604,265.46164,,0x213fd83eba8c9c87,214.39542277147817,65.30391916651635,122.12227698648051,0.7091759,0.9900605,,
135221,iic,SSP_CO_Autumn_2h_46_v2,2025-11-27 23:08:56.486669,55871,12,0,80,399.9990005493164,440.1583,707.2826,263.71698,,0x213fd83eba8c9c87,210.2732856703101,66.28768039490126,118.33236239415518,0.72066575,0.98866874,,
135220,iic,,2025-11-27 23:05:27.744639,55868,0,8,7,4.800000190734863,,,,,0x213fd83eba8c9c87,207.5865697446077,66.89035863461702,115.79599032194719,0.7365086,0.97177297,,
135219,iic,SSP_CO_Autumn_2h_54_v2,2025-11-27 22:56:53.835303,55865,12,0,87,445.0,560.76654,908.1458,367.40906,,0x2676bfaf341d73e0,205.98976579938616,68.26122737339564,114.36734510149275,0.57891154,0.9863917,,
135218,iic,SSP_CO_Autumn_2h_54_v2,2025-11-27 22:48:12.567812,55865,12,0,87,444.99974822998047,459.78564,751.0865,321.45868,,0x2676bfaf341d73e0,200.47626665387835,69.06308471679688,109.23749603271484,0.6070737,0.97667724,,
135217,iic,,2025-11-27 22:44:17.404726,55862,0,8,11,4.800000190734863,,,,,0x2676bfaf341d73e0,196.88225826140373,69.54262296615109,105.84202231130293,0.5945388,0.97672886,,
135216,iic,SSP_CO_Autumn_2h_70_v2,2025-11-27 22:36:04.770134,55859,12,0,83,400.00050354003906,277.329,524.684,222.92435,,0x157dc7885c80b180,193.22055903451886,71.9061343712721,102.46364684875854,0.68003577,0.9110642,,
135215,iic,SSP_CO_Autumn_2h_70_v2,2025-11-27 22:28:05.473657,55859,12,0,81,400.00025177001953,255.08388,492.70538,210.01244,,0x157dc7885c80b180,186.74633817146162,72.23674961394327,96.38258080979797,0.7132139,0.9111579,,
135214,iic,,2025-11-27 22:21:53.760016,55856,0,8,35,4.800000190734863,,,,,0x157dc7885c80b180,181.80149590214597,72.29575946662999,91.73235398304614,0.74318373,0.8907671,,
135213,iic,SSP_CO_Autumn_2h_38_v2,2025-11-27 22:14:06.591830,55853,12,0,79,399.99950408935547,152.11218,247.41212,119.68543,,0x1958648c869de24e,176.0529638326393,68.1650745223903,86.31234870766694,0.6572468,0.9761589,,Passing meridian. Bad guiding. by tak@stn
135212,iic,SSP_CO_Autumn_2h_38_v2,2025-11-27 22:06:09.800562,55853,12,0,81,399.9985046386719,248.53392,369.20987,139.51517,,0x1958648c869de24e,170.8300786866732,67.95367473766116,81.39911127382992,0.599611,1.0082599,,Passing meridian. Bad guiding. by tak@stn
135211,iic,,2025-11-27 21:56:43.825048,55850,0,8,54,4.800000190734863,,,,,0x1958648c869de24e,165.82545275565906,67.63137804341112,76.71001701681023,0.55725485,0.98908305,,
135210,iic,SSP_CO_Autumn_2h_77_v2,2025-11-27 21:48:56.790129,55847,12,0,79,400.00000762939453,559.343,817.4663,326.04083,,0x5fe468cef8811f03,156.19062133405194,71.96451429451037,67.67688770414148,0.56896037,1.0006918,,
135209,iic,SSP_CO_Autumn_2h_77_v2,2025-11-27 21:40:58.628314,55847,12,0,81,400.0010070800781,520.8924,820.5603,313.4989,,0x5fe468cef8811f03,150.56001974468583,71.13359065143608,62.44244394126845,0.5952285,0.9962776,,
135208,iic,,2025-11-27 21:36:48.025980,55844,0,8,10,4.800000190734863,,,,,0x5fe468cef8811f03,147.67360397865033,70.30667127411941,59.817604064941406,0.5462575,0.9907297,,
135207,iic,SSP_GE_XMMLSS_S25B_run0004_DEEP_obs0004,2025-11-27 21:20:42.798632,55841,12,0,163,900.000244140625,968.8415,1552.731,1145.4087,,0x7e8457a2ee497c12,155.64442831150254,63.18287939835761,67.10899075382711,0.5659676,1.0162258,,
135206,iic,SSP_GE_XMMLSS_S25B_run0004_DEEP_obs0004,2025-11-27 21:04:28.093409,55841,12,0,164,900.0,936.52997,1473.4795,1047.5228,,0x7e8457a2ee497c12,147.86664087359304,61.37485304719409,59.87821311139046,0.58472383,1.0045136,,
135205,iic,,2025-11-27 21:01:03.599640,55838,0,8,7,4.800000190734863,,,,,0x7e8457a2ee497c12,143.85212972889775,60.17766255917756,56.20889597353728,0.56281304,1.0129111,,
135204,iic,SSP_GE_XMMLSS_S25B_run0004_DEEP_obs0004,2025-11-27 20:44:53.343615,55835,12,0,163,899.9997406005859,720.22876,1149.9106,796.4567,,0x7e8457a2ee497c12,139.734575697406,58.64436742800091,52.415545017347426,0.6419905,0.9907052,,
135203,iic,SSP_GE_XMMLSS_S25B_run0004_DEEP_obs0004,2025-11-27 20:28:35.841884,55835,12,0,164,899.9994964599609,752.5183,1164.142,770.06976,,0x7e8457a2ee497c12,133.99348435793243,56.02669336150845,47.23680020828015,0.63138264,0.99261045,,
135202,iic,,2025-11-27 20:24:54.854260,55832,0,8,10,4.800000190734863,,,,,0x7e8457a2ee497c12,131.0520161595838,54.42843772625101,44.64862271012931,0.64095056,0.9798365,,
135201,iic,SSP_GE_XMMLSS_S25B_run0004_DEEP_obs0004,2025-11-27 20:08:46.686741,55829,12,0,162,900.0022430419922,449.97568,746.4149,434.24832,,0x7e8457a2ee497c12,128.00870272122896,52.479607661320614,41.95404852060171,0.7408324,0.96772754,,
135200,iic,SSP_GE_XMMLSS_S25B_run0004_DEEP_obs0004,2025-11-27 19:52:28.698221,55829,12,0,165,899.999755859375,274.14908,456.30923,271.7534,,0x7e8457a2ee497c12,123.86198144088699,49.38287330466095,38.39072693654778,0.88610774,0.93162453,,
135199,iic,,2025-11-27 19:48:15.699718,55826,0,8,13,4.800000190734863,,,,,0x7e8457a2ee497c12,121.53171582903181,47.73441183907645,36.46522069658552,0.90043336,0.91873986,,
135198,iic,SSP_CO_Autumn_2h_60_v1,2025-11-27 19:36:59.006798,55823,12,0,114,607.0007476806641,107.50684,187.63402,99.449974,,0x1a8ef60c9d9bd294,113.80446051718366,52.52493755890293,30.54374300028039,1.0480868,0.749409,,
135197,iic,SSP_CO_Autumn_2h_60_v1,2025-11-27 19:25:36.191852,55823,12,0,116,607.0019836425781,154.8614,282.66946,144.44173,,0x1a8ef60c9d9bd294,111.55789662635378,50.06403452337044,28.897905333359354,0.92254734,0.78899,,
135196,iic,,2025-11-27 19:21:11.790997,55820,0,8,17,4.800000190734863,,,,,0x1a8ef60c9d9bd294,110.29152963327807,48.60260373492574,28.022414673206416,0.837549,0.8117313,,
135195,iic,SSP_CO_Autumn_1h_51_v1,2025-11-27 19:08:45.726092,55817,12,0,126,674.999755859375,319.56705,569.08527,311.9128,,0x46f099e4970cc759,109.33418786572845,49.579502467581406,27.25041197976576,0.7168706,0.842516,,
135194,iic,SSP_CO_Autumn_1h_51_v1,2025-11-27 18:56:11.980640,55817,12,0,128,674.9987487792969,337.8965,581.46967,282.78757,,0x46f099e4970cc759,107.24075554873693,46.786758215047044,25.86475358213432,0.72474605,0.8531265,,
135193,iic,,2025-11-27 18:51:09.809868,55814,0,8,14,4.800000190734863,,,,,0x46f099e4970cc759,106.07263018633869,45.09542403350005,22.701281470221442,0.72263396,0.85214627,,
