# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
134729,iic,SSP_CO_Spring_8h_11_v1,2025-11-24 05:30:09.698133,55260,12,0,91,469.99974822998047,458.9816,626.1276,319.46878,,0x6d4818dabdc4a5d,211.69311089854423,68.10840894355148,119.6423095953269,0.65156513,0.9388255,,
134728,iic,SSP_CO_Spring_8h_11_v1,2025-11-24 05:21:03.907246,55260,12,0,92,470.0007553100586,619.97296,819.2787,341.10394,,0x6d4818dabdc4a5d,206.12561884699642,69.14456782985378,114.49669688456767,0.65048695,0.93580395,,
134727,iic,,2025-11-24 05:17:22.242701,55257,0,8,9,4.800000190734863,,,,,0x6d4818dabdc4a5d,202.55518086751303,69.72413296169705,111.19241672092014,0.67180014,0.9186261,,
134726,iic,SSP_CO_Spring_8h_15_v1,2025-11-24 05:09:39.951428,55254,12,0,77,396.9987487792969,387.94705,487.1918,198.96439,,0x47e61e98e79bc213,200.62343395602318,71.01981348837576,109.38934695336127,0.7017564,0.8880232,,
134725,iic,SSP_CO_Spring_8h_15_v1,2025-11-24 05:01:46.978518,55254,12,0,80,396.9992446899414,451.48755,604.31793,227.4046,,0x47e61e98e79bc213,194.78397213005871,71.57865773076597,103.9267896095418,0.6695029,0.89253545,,
134724,iic,,2025-11-24 04:58:18.752573,55251,0,8,6,4.800000190734863,,,,,0x47e61e98e79bc213,190.99657113211495,71.89190928141277,100.37202053978329,0.6473181,0.88299626,,
134723,iic,SSP_CO_Spring_8h_20_v1,2025-11-24 04:50:54.695688,55248,12,0,74,375.9992446899414,435.5243,584.53955,221.435,,0x2fa64e4253a6d299,188.37425948789456,73.01159842062316,97.91958689849649,0.610122,0.88543224,,
134722,iic,SSP_CO_Spring_8h_20_v1,2025-11-24 04:43:22.483317,55248,12,0,76,375.99925231933594,464.8381,665.1218,225.54018,,0x2fa64e4253a6d299,181.99646853777318,73.1697722790288,91.91613649854473,0.6152747,0.8919541,,
134721,iic,,2025-11-24 04:38:38.271098,55245,0,8,9,4.800000190734863,,,,,0x2fa64e4253a6d299,176.43684669777198,72.93565735993562,86.6947530110677,0.61524403,0.9019307,,
134720,iic,SSP_CO_Spring_9h_44_v1,2025-11-24 04:31:25.976137,55242,12,0,73,362.99925231933594,408.29773,594.0995,217.15306,,0x6c8b3841d822fccc,136.451655796596,66.11145497017166,49.59218514371081,0.60815895,0.9292112,,
134719,iic,SSP_CO_Spring_9h_44_v1,2025-11-24 04:24:05.852495,55242,12,0,74,362.99949645996094,434.727,606.05096,184.70468,,0x6c8b3841d822fccc,133.19583580477925,64.90123062645829,46.68922721299549,0.60247976,0.92497206,,
134718,iic,,2025-11-24 04:20:16.387344,55239,0,8,8,4.800000190734863,,,,,0x6c8b3841d822fccc,131.6601690673828,64.24056259155273,45.27888946533203,0.5902925,0.9143882,,
134717,iic,SSP_CO_Spring_9h_39_v1,2025-11-24 04:12:15.107823,55236,12,0,80,412.9987487792969,664.84766,806.1871,322.47418,,0x8fecbcc565ca7a5,138.9183911625643,66.9273446124533,51.8119175833945,0.57311493,0.9516785,,
134716,iic,SSP_CO_Spring_9h_39_v1,2025-11-24 04:04:06.234207,55236,12,0,83,412.9989929199219,641.95184,779.27014,284.74466,,0x8fecbcc565ca7a5,135.05379801310465,65.62478249372836,48.341115003574394,0.58655095,0.934669,,
134715,iic,,2025-11-24 04:00:35.270720,55233,0,8,6,4.800000190734863,,,,,0x8fecbcc565ca7a5,132.52594139462425,64.55333164760044,46.0322265625,0.614129,0.91321015,,
134714,iic,SSP_CO_Spring_9h_30_v2,2025-11-24 03:51:25.856617,55230,12,0,92,483.9990005493164,567.1403,779.9274,387.73135,,0x7dc5a9aba95652e0,124.9255280365815,59.23615252520587,39.53415096386059,0.632986,0.9247379,,
134713,iic,SSP_CO_Spring_9h_30_v2,2025-11-24 03:42:05.958890,55230,12,0,94,484.00150299072266,515.0738,677.106,331.92328,,0x7dc5a9aba95652e0,122.19814938338345,57.42798321839994,37.248030849234766,0.6631551,0.92446625,,
134712,iic,,2025-11-24 03:38:05.308739,55227,0,8,14,4.800000190734863,,,,,0x7dc5a9aba95652e0,120.59702569085198,56.25692542823585,35.897987984322214,0.7441009,0.9449021,7.3 um at 75% by terai@stn,7.3 um at 75% by terai@stn
134711,iic,,2025-11-24 03:34:06.865920,55222,0,8,10,4.800000190734863,,,,,0x7dc5a9aba95652e0,119.32177234518117,55.27156027432146,34.86316595406368,0.7426774,0.9371998,bad convergence (12.4 um at 75%) by terai@stn,bad convergence (12.4 um at 75%) by terai@stn
134710,iic,SSP_CO_Spring_9h_48_v2,2025-11-24 03:23:19.100833,55219,12,0,109,570.0007476806641,562.9756,669.40106,363.93167,,0x65bf963bf24fe952,110.76732820136363,48.60524586019995,28.351352569719428,0.6694895,0.90153813,,
134709,iic,SSP_CO_Spring_9h_48_v2,2025-11-24 03:12:32.157263,55219,12,0,108,570.00048828125,627.3833,701.07996,363.73926,,0x65bf963bf24fe952,108.91771356960595,46.22306155718966,27.079152603852584,0.6595024,0.9032848,,
134708,iic,,2025-11-24 03:08:46.190688,55216,0,8,8,4.800000190734863,,,,,0x65bf963bf24fe952,107.87999603271484,44.78837692260742,26.34694305419922,0.70602334,0.9020897,8.1 um at 75% by terai@stn,8.1 um at 75% by terai@stn
