# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
130126,iic,SSP_GA_m31_E0_S0P00V00R01,2025-09-14 00:11:07.646227,51064,12,0,217,899.9994964599609,725.94525,,747.71924,1224.6885,0x5910d79b9aa203ba,31.80322633502127,61.47317641685749,32.57105467346893,0.67746806,0.9392799,,
130125,iic,SSP_GA_m31_E0_S0P00V00R01,2025-09-13 23:54:52.147722,51064,12,0,193,899.9982299804688,480.9555,,513.4126,719.5782,0x5910d79b9aa203ba,36.281189240842515,59.19026589208795,39.41202850736081,0.8035821,0.8893788,,
130124,iic,,2025-09-13 23:51:36.848752,51061,0,8,7,4.800000190734863,,,,,0x5910d79b9aa203ba,38.32667010763417,57.896598981774375,42.73864099253779,0.7244772,0.6299505,,
130123,iic,SSP_GA_m31_E0_S0P00V00R00,2025-09-13 23:35:29.565298,51058,12,0,191,899.9979858398438,311.2336,,254.13446,307.7541,0x5910d79b9aa203ba,40.34441000238722,56.34273849766186,46.16622027404626,0.6973736,0.6697374,,
130122,iic,SSP_GA_m31_E0_S0P00V00R00,2025-09-13 23:19:13.750512,51058,12,0,195,899.9984893798828,64.083176,,40.520416,45.73143,0x5910d79b9aa203ba,43.056602878033964,53.79760141201946,51.15327983378145,0.73774403,0.26397547,,
130121,iic,,2025-09-13 23:12:54.278700,51055,0,8,8,4.800000190734863,,,,,0x5910d79b9aa203ba,48.16797592163086,52.84035202026367,50.08807846069336,0.6556951,0.42940193,,
130120,iic,GE_D23_S25B_run0003_WIDE_obs0000,2025-09-13 22:56:46.947040,51052,12,0,0,899.9997406005859,,,,,0x3a63ea58ce344ca4,132.63467407226562,62.511741638183594,-43.734947204589844,,,"For this exposure, AG stopped 22:55. Almost open tracking for whole exposure of this visit. by arai@stn
EET was not calculated because the data is too bad by kiyoyabe@stn
seeing and transparency were not calculated because there are no AG data by kiyoyabe@stn",2nd exposure was taken with open tracking due to stopping AG. 1st exposure is fine. by arai@stn
130119,iic,GE_D23_S25B_run0003_WIDE_obs0000,2025-09-13 22:40:28.859583,51052,12,0,128,899.9994964599609,726.09265,781.19495,618.1383,,0x3a63ea58ce344ca4,129.41106584007173,60.94559190802073,-46.556935573830216,0.76954603,1.0205019,,2nd exposure was taken with open tracking due to stopping AG. 1st exposure is fine. by arai@stn
130118,iic,,2025-09-13 22:36:55.197196,51049,0,8,10,4.800000190734863,,,,,0x3a63ea58ce344ca4,126.48455705313847,59.36169012661638,-49.08607811763369,0.73332906,1.0072585,,
130117,iic,,2025-09-13 22:35:01.952082,,0,0,0,,,,,,0x2329ddde28b5a6e6,125.08734130859375,58.51158142089844,-50.58631896972656,,,,
130116,iic,,2025-09-13 22:33:52.647542,,0,0,0,,,,,,0x2329ddde28b5a6e6,124.73516082763672,58.28791427612305,-50.58665466308594,,,,
130115,iic,GE_D23_S25B_run0003_WIDE_obs0000,2025-09-13 22:17:45.249694,51044,12,0,138,899.9987487792969,1074.9196,1115.4546,904.31903,,0x3a63ea58ce344ca4,122.42202585268537,56.68958710763429,-52.51012574894764,0.66407293,0.90153044,,
130114,iic,GE_D23_S25B_run0003_WIDE_obs0000,2025-09-13 22:01:27.628999,51044,12,0,139,899.9990081787109,900.63043,994.1156,689.3214,,0x3a63ea58ce344ca4,118.27749119693661,53.39272086851059,-55.884853075909355,0.7157801,0.8036506,,
130113,iic,,2025-09-13 21:57:54.403911,51041,0,8,10,4.800000190734863,,,,,0x3a63ea58ce344ca4,116.18948995655981,51.4771394400761,-57.505321765768116,0.7030024,0.78510994,,
130112,iic,GE_D23_S25B_run0003_WIDE_obs0000,2025-09-13 21:41:46.781594,51038,12,0,139,899.9989929199219,928.0915,868.2393,584.8259,,0x3a63ea58ce344ca4,114.01290532594086,49.19494151727273,-59.185750352866336,0.6760649,0.9477687,,thin clouds passed by arai@stn
130111,iic,GE_D23_S25B_run0003_WIDE_obs0000,2025-09-13 21:25:30.744935,51038,12,0,195,900.0005187988281,714.7451,659.0317,431.18634,,0x3a63ea58ce344ca4,111.04815338212816,45.6789434681768,-61.34541603732292,0.6879731,0.8201158,,thin clouds passed by arai@stn
130110,iic,,2025-09-13 21:20:08.162798,51035,0,8,6,4.800000190734863,,,,,0x3a63ea58ce344ca4,106.1477286929176,44.56311489286877,-65.5939797900972,0.73755467,0.51499623,,
130109,iic,,2025-09-13 21:09:37.187687,51032,0,0,21,10.0,,,,,0x46e692e694cd3b45,40.07776792659316,61.02837185527003,-127.55029953357786,0.9476488,0.50457567,,"seeing = 0.9"", z = 3.3 w/AG2 and AG5 by arai@stn"
