# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
131455,iic,SSP_GA_m31_E0_S0P02V02R01,2025-09-23 05:14:17.494364,52662,12,0,108,449.9977493286133,213.47151,,200.62392,98.98493,0x7932a3125be9e9ad,307.95287185879897,33.35781113233435,-97.27838278915476,0.61283547,0.9189796,,
131454,iic,SSP_GA_m31_E0_S0P02V02R01,2025-09-23 05:05:29.545152,52662,12,0,104,450.00025177001953,535.68933,,299.5945,464.636,0x7932a3125be9e9ad,308.076243569406,35.037759643992736,-95.69113443913072,0.6151301,0.960815,,
131453,iic,,2025-09-23 05:02:11.828041,52659,0,8,7,4.800000190734863,,,,,0x7932a3125be9e9ad,308.1757586935292,36.03750759622325,-94.78917727263078,0.5814123,0.96363825,,
131452,iic,SSP_GA_m31_E0_S0P02V02R00,2025-09-23 04:46:04.200962,52656,12,0,190,900.0007629394531,1490.5023,,746.0868,1524.1047,0x7932a3125be9e9ad,308.4471022237943,37.96650444491329,-92.81322607405855,0.5906135,0.9575255,,
131451,iic,SSP_GA_m31_E0_S0P02V02R00,2025-09-23 04:29:45.983956,52656,12,0,192,899.9985046386719,1962.9644,,841.25604,1779.2959,0x7932a3125be9e9ad,309.0377223423549,40.9428077796837,-89.72092960902623,0.5308924,0.96245694,,
131450,iic,,2025-09-23 04:26:28.772755,52653,0,8,7,4.800000190734863,,,,,0x7932a3125be9e9ad,309.4663709557575,42.60694935010827,-87.97658439304517,0.5493436,0.945756,,
131449,iic,SSP_GA_m31_E0_S0P02V02R03,2025-09-23 04:10:19.698858,52650,12,0,190,900.0002593994141,1738.7385,,812.55566,1797.2355,0x7932a3125be9e9ad,310.0860641359344,44.49112792528207,-85.7315661613084,0.57404363,0.9608928,,
131448,iic,SSP_GA_m31_E0_S0P02V02R03,2025-09-23 03:54:01.231683,52650,12,0,192,899.9992523193359,2038.5443,,1031.1959,1890.0709,0x7932a3125be9e9ad,311.2857696929535,47.39178936450512,-82.14556910527217,0.52125925,0.93758017,,
131447,iic,,2025-09-23 03:50:42.961732,52647,0,8,7,4.800000190734863,,,,,0x7932a3125be9e9ad,312.0966730532439,49.003252941629164,-80.08944171407948,0.5650293,0.93057704,,
131446,iic,SSP_GA_m31_E0_S0P02V02R02,2025-09-23 03:34:35.130106,52644,12,0,190,900.000244140625,1613.3379,,864.10297,1643.0216,0x7932a3125be9e9ad,313.2033572860277,50.80449185909561,-77.4136830327392,0.5960078,0.929228,,
