# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
131362,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0001,2025-09-22 05:03:41.268539,52539,12,0,106,450.0,538.1422,392.8604,241.064,,0x137bbbd9c9fbe1cc,240.92978378080986,46.06535860518335,145.56155230741547,0.47107375,0.94361556,,
131361,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0001,2025-09-22 04:54:55.861730,52539,12,0,104,450.00025177001953,652.4158,545.8639,243.3344,,0x137bbbd9c9fbe1cc,239.0642783425071,47.86779807058818,144.0462097460003,0.48363137,0.99872214,,
131360,iic,,2025-09-22 04:51:30.749082,52536,0,8,9,4.800000190734863,,,,,0x137bbbd9c9fbe1cc,237.86661501284,48.9475308171025,143.00652002405238,0.4658776,1.0545447,,
131359,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0001,2025-09-22 04:35:26.177273,52533,12,0,95,900.0007476806641,1691.7986,1511.7733,721.04224,,0x137bbbd9c9fbe1cc,235.3374029828616,51.00262908536102,140.92399045934226,0.51440173,0.47571054,,
131358,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0001,2025-09-22 04:19:07.896246,52533,12,0,98,900.0010070800781,2256.873,1929.4486,957.4128,,0x137bbbd9c9fbe1cc,230.96401280437024,54.059318290749175,137.15576853485882,0.5065849,0.49081507,,
131357,iic,,2025-09-22 04:15:02.712647,52530,0,8,11,4.800000190734863,,,,,0x137bbbd9c9fbe1cc,228.04348656439012,55.79457744475334,134.5447747015184,0.46543556,0.81214255,,
131356,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0003,2025-09-22 03:58:54.625002,52527,12,0,189,899.999755859375,2573.214,2133.116,1334.0541,,0x16a264894287984e,222.58698161988272,58.02575691645882,129.73697293968502,0.5359061,0.9811343,,
131355,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0003,2025-09-22 03:42:31.964946,52527,12,0,192,900.0010070800781,2595.8389,2266.3684,1359.4183,,0x16a264894287984e,216.19279963505733,60.46890142861899,123.9186393836876,0.5443628,0.9818436,,
131354,iic,,2025-09-22 03:39:07.663666,52524,0,8,9,4.800000190734863,,,,,0x16a264894287984e,212.28241644965277,61.65403804072627,120.27384637903285,0.5632044,0.97200835,,
131353,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0002,2025-09-22 03:22:58.988268,52521,12,0,189,899.9982452392578,2456.767,2185.5583,1264.5337,,0x3df080252c0eb963,208.33755754858333,61.943132918868656,116.69354105121542,0.5442693,0.9925445,,
131352,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0002,2025-09-22 03:06:41.662476,52521,12,0,194,899.9984893798828,2698.8188,2215.9233,1175.4349,,0x3df080252c0eb963,200.20585122390395,63.51294793567804,109.10038268964517,0.5200145,0.9814155,,
131351,iic,,2025-09-22 03:03:12.000505,52518,0,8,9,4.800000190734863,,,,,0x3df080252c0eb963,195.30577596028647,64.22601940013745,104.4543044478805,0.5346205,0.94244295,,
131350,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0001,2025-09-22 02:47:03.890286,52515,12,0,148,900.0005035400391,1490.4454,1347.4517,676.8247,,0x137bbbd9c9fbe1cc,189.2194034049808,65.68548727838278,98.75758585303721,0.49093238,0.92710674,,
131349,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0001,2025-09-22 02:30:47.374699,52515,12,0,193,899.9989929199219,1196.6333,1252.2834,519.0255,,0x137bbbd9c9fbe1cc,180.10524980411972,65.9693848760245,90.16707342970895,0.5812088,0.9494324,,
131348,iic,,2025-09-22 02:27:27.295679,52512,0,8,7,4.800000190734863,,,,,0x137bbbd9c9fbe1cc,174.6024747102157,65.87135978367017,84.96303093951681,0.53294134,0.989409,,
131347,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0000,2025-09-22 02:11:18.690763,52509,12,0,190,899.9992523193359,1446.513,1488.8922,919.21436,,0x444d066ed6d63431,170.65078158641424,65.05669499194528,81.24577461703242,0.5061182,1.0295929,,
131346,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0000,2025-09-22 01:55:02.554711,52509,12,0,192,900.0019989013672,1605.7565,1554.7678,895.27405,,0x444d066ed6d63431,161.494644878437,64.13806463464515,72.6318685754553,0.52264744,1.0218542,,
131345,iic,,2025-09-22 01:51:31.536466,52506,0,8,9,4.800000190734863,,,,,0x444d066ed6d63431,156.44141020598235,63.36562856038412,67.90440622965495,0.6118158,1.0301025,,
131344,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0003,2025-09-22 01:35:23.489094,52503,12,0,189,899.9979858398438,1292.3411,1439.3059,834.5254,,0x16a264894287984e,147.42894557660992,61.57339260131514,59.531955235866256,0.6482162,0.9237953,,
131343,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0003,2025-09-22 01:19:07.721449,52503,12,0,193,899.9994964599609,1192.7234,1413.5948,755.7962,,0x16a264894287984e,140.57926353434877,59.32063851368828,53.246620858362476,0.67878944,0.88348514,,
131342,iic,,2025-09-22 01:15:47.225074,52500,0,8,7,4.800000190734863,,,,,0x16a264894287984e,137.20431916610053,57.923177138618804,50.200587397036344,0.72147983,0.875293,,
131341,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0002,2025-09-22 00:59:38.694866,52497,12,0,192,899.9982604980469,840.298,1044.119,695.87103,,0x3df080252c0eb963,135.52926136363635,56.31699877652255,48.6303868677709,0.6382809,0.8699845,,
131340,iic,GE_XMMLSS_S25B_run0003_WIDE_obs0002,2025-09-22 00:43:21.922532,52497,12,0,192,899.9985046386719,787.8814,1015.712,559.1101,,0x3df080252c0eb963,130.43690030977322,53.52118683852159,44.09296410300515,0.6907617,0.85889703,,
