# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
130291,iic,SSP_GA_m31_E0_S0P00V00R02,2025-09-15 00:04:12.410678,51255,12,0,184,849.999755859375,1930.0317,,1239.7537,2444.0566,0x5910d79b9aa203ba,33.02956229626002,60.92342834679415,34.39104909819316,0.55142385,0.9443958,,
130290,iic,SSP_GA_m31_E0_S0P00V00R02,2025-09-14 23:48:44.971031,51255,12,0,184,849.9982452392578,1556.1858,,1011.0873,2305.1833,0x5910d79b9aa203ba,36.88691978144452,58.82324547496268,40.375961355400605,0.57568586,0.93339396,,
130289,iic,,2025-09-14 23:45:32.945273,51252,0,8,6,4.800000190734863,,,,,0x5910d79b9aa203ba,38.792334783644904,57.56575357346308,43.514928726922896,0.6134597,0.9211406,,
130288,iic,SSP_GA_m31_E0_S0P00V00R03,2025-09-14 23:29:26.927917,51249,12,0,190,900.0,1355.0782,,807.78,1946.2814,0x5910d79b9aa203ba,40.73325911594501,56.0164136411011,46.85014412346787,0.6225614,0.93084574,,
130287,iic,SSP_GA_m31_E0_S0P00V00R03,2025-09-14 23:13:09.609189,51249,12,0,194,899.9997406005859,1652.3086,,854.0327,2207.5872,0x5910d79b9aa203ba,43.37056458578625,53.45600264483062,51.76445103427132,0.58336145,0.9295221,,
130286,iic,,2025-09-14 23:09:43.920814,51246,0,8,9,4.800000190734863,,,,,0x5910d79b9aa203ba,44.64915084838867,51.96234809027778,54.36153072781033,0.5284714,0.9237725,,
130285,iic,SSP_GA_m31_E0_S0P00V00R02,2025-09-14 22:53:36.709605,51243,12,0,190,899.9982452392578,1387.6715,,821.88995,1708.8186,0x5910d79b9aa203ba,45.900247008155965,50.19651162655648,57.1040762653501,0.635992,0.91942024,,
130284,iic,SSP_GA_m31_E0_S0P00V00R02,2025-09-14 22:37:19.838331,51243,12,0,192,899.9987487792969,1406.3499,,696.91974,1658.4624,0x5910d79b9aa203ba,47.51888452505136,47.412632424490795,61.08484049214945,0.6344535,0.91392356,,
130283,iic,,2025-09-14 22:31:29.208215,51240,0,8,9,4.800000190734863,,,,,0x5910d79b9aa203ba,51.1565643593117,46.28854624430338,59.00236596001519,0.5440387,0.9283189,,
130282,iic,GE_D23_S25B_run0003_WIDE_obs0001,2025-09-14 22:15:21.865298,51237,12,0,193,899.9982452392578,1499.2942,1486.9608,1155.4766,,0x1c37b810b7038da1,123.79706709514292,56.342548222504846,-51.365123600922814,0.6003597,0.93853205,,
130281,iic,GE_D23_S25B_run0003_WIDE_obs0001,2025-09-14 21:59:04.605972,51237,12,0,194,900.0,1651.9176,1535.9948,1242.9178,,0x1c37b810b7038da1,119.57572617322437,53.08951528397195,-54.846536327450316,0.5891867,0.9246709,,
130280,iic,,2025-09-14 21:55:46.276993,51234,0,8,8,4.800000190734863,,,,,0x1c37b810b7038da1,117.45378326416015,51.20371276855469,-56.513373107910155,0.59417397,0.8675169,,
130279,iic,GE_D23_S25B_run0003_WIDE_obs0001,2025-09-14 21:39:39.083784,51231,12,0,193,900.0012512207031,1024.9906,1020.4835,666.19904,,0x1c37b810b7038da1,115.28265755429132,49.000371119772744,-58.22764637673548,0.7132057,0.8294059,,
130278,iic,GE_D23_S25B_run0003_WIDE_obs0001,2025-09-14 21:23:21.421637,51231,12,0,195,900.0000152587891,1054.1764,1060.2223,586.1478,,0x1c37b810b7038da1,112.23668397479045,45.504246528801104,-60.49825977608371,0.7270911,0.82255876,,
130277,iic,,2025-09-14 21:17:49.695227,51228,0,8,8,4.800000190734863,,,,,0x1c37b810b7038da1,107.77995101928711,44.28068023681641,-64.34430953979492,0.69607115,0.8233285,,
130276,iic,,2025-09-14 21:10:37.809145,51225,0,0,21,5.0,,,,,0x46e692e694cd3b45,39.07047653198242,61.642278272052145,-129.09453387593115,0.70118546,0.9195492,,"seeing = 0.75, z = 3.26 w/Ag2 and AG5 by arai@stn"
