# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
131558,iic,GE_XMMLSS_S25B_run0003_DEEP_obs0001,2025-09-24 05:04:56.958692,52797,12,0,137,600.0005035400391,356.21133,314.7366,251.69202,,0x7075eeb93edcdfbc,242.94730907093395,42.790223458030006,147.25914833762428,0.72260064,0.9562683,,
131557,iic,GE_XMMLSS_S25B_run0003_DEEP_obs0001,2025-09-24 04:53:39.721952,52797,12,0,132,600.0002593994141,413.59055,323.09122,226.80914,,0x7075eeb93edcdfbc,240.7548157889888,45.15927969014869,145.49895837172022,0.7368325,0.95496446,,
131556,iic,,2025-09-24 04:50:27.291598,52794,0,8,7,4.800000190734863,,,,,0x7075eeb93edcdfbc,239.38806882111922,46.523158031961195,144.3279677681301,0.9420635,0.9429193,,
131555,iic,GE_XMMLSS_S25B_run0003_DEEP_obs0000,2025-09-24 04:34:23.462422,52791,12,0,189,899.9985046386719,808.265,641.8658,535.71515,,0x5738bb82c4e2ca7,237.10001926875051,48.57948948399687,142.47388721959257,0.7307338,0.96790653,,
131554,iic,GE_XMMLSS_S25B_run0003_DEEP_obs0000,2025-09-24 04:18:05.313874,52791,12,0,193,899.9982452392578,814.6109,657.0414,583.1081,,0x5738bb82c4e2ca7,233.10532274665144,51.7077320010163,139.06780848145792,0.7340102,0.97690266,,
131553,iic,,2025-09-24 04:14:53.827644,52788,0,8,7,4.800000190734863,,,,,0x5738bb82c4e2ca7,230.62089273203975,53.40567281971807,136.85089111328125,0.6701563,0.98650867,,
131552,iic,GE_XMMLSS_S25B_run0003_DEEP_obs0000,2025-09-24 03:58:49.913816,52785,12,0,187,900.0,1120.7485,843.84546,721.28503,,0x5738bb82c4e2ca7,227.50480509440104,55.22984261067708,134.16014388020832,0.6606575,0.99204564,,
131551,iic,GE_XMMLSS_S25B_run0003_DEEP_obs0000,2025-09-24 03:42:30.865106,52785,12,0,193,899.9992370605469,436.05438,393.02945,308.30923,,0x5738bb82c4e2ca7,222.01321813302448,57.91772223381417,129.2364887365691,1.0180358,0.953957,,
131550,iic,,2025-09-24 03:38:14.772622,52782,0,8,19,4.800000190734863,,,,,0x5738bb82c4e2ca7,218.4703635357796,59.36350209662255,125.99193410670503,1.3752534,0.891095,,
131549,iic,GE_XMMLSS_S25B_run0003_DEEP_obs0000,2025-09-24 03:22:10.538105,52779,12,0,190,899.9985046386719,715.40497,568.39874,533.5104,,0x5738bb82c4e2ca7,213.8247697885268,60.888294039748786,121.75650637168584,0.77882093,0.9851412,,
